"","IRF_x1"
"1",0.126943903673541
"2",0.0675044941169193
"3",0.0297366890024694
"4",0.023442743028158
"5",0.0178275820228409
"6",0.0205801443923088
"7",0.0148077337443813
"8",0.0121494862630745
"9",0.0115364747349554
"10",0.0130269732308643
"11",0.0118913741590827
"12",0.00976821707022732
"13",0.0111570590959452
"14",0.0116943573791115
"15",0.0102365401427052
"16",0.00988240715473435
"17",0.00732649438676706
"18",0.0098985837971566
"19",0.00799344058576439
"20",0.00671765713229374
"21",0.00892158663729193
"22",0.00637543073854297
"23",0.00889841488279873
"24",0.00812134569790611
"25",0.00979337964688437
"26",0.00670386121024456
"27",0.00532500322079017
"28",0.00749676646585353
"29",0.00455358556851739
"30",0.00581578234369993
"31",0.00947666068930782
"32",0.00662761295045743
"33",0.00706114711026616
"34",0.00754499543621238
"35",0.00783965740701966
"36",0.00580104788859043
"37",0.00741092374784212
"38",0.00767481599486686
"39",0.00444822311391948
"40",0.00354403872054719
"41",0.00595125700879579
"42",0.00340759093545127
"43",0.00410035363812639
"44",0.00483049545905746
"45",0.00694831441972237
"46",0.0045492536182751
"47",0.00584611556461796
"48",0.00333759692103644
"49",0.00569368323120283
"50",0.0060328129877836
"51",0.00647029135507564
"52",0.00353314116472981
"53",0.00511168165076622
"54",0.00481419635784346
"55",0.00472143683962869
"56",0.004442038612242
"57",0.00590599785340484
"58",0.00549528169375106
"59",0.0037205225811694
"60",0.00500763183074972
"61",0.00478257252367846
"62",0.00283848067862739
"63",0.00423148074574041
"64",0.00405235454645614
"65",0.00215307997043381
"66",0.00332517794441346
"67",0.0048101206617198
"68",0.00527723923285122
"69",0.0031055328491348
"70",0.00428938472259792
"71",0.00263155513511816
"72",0.00322247223923626
"73",0.00285799846390174
"74",0.00460360818192354
"75",0.00264797372191754
"76",0.00374014264667703
"77",0.00400915228769114
"78",0.0025141704396738
"79",0.00249815157160721
"80",0.00428368315101038
"81",0.00379784659306245
"82",0.00307618340280784
"83",0.00409543375483422
"84",0.00453280997633796
"85",0.00366928609471343
"86",0.00428743771949322
"87",0.00212463330792329
"88",0.00236714868114084
"89",0.00322251979833489
"90",0.00340198494064273
"91",0.00419888107903684
"92",0.00364819422038388
"93",0.0037876277358163
"94",0.00274677108253169
"95",0.00211492921133693
"96",0.0016875887543682
"97",0.00153964683134791
"98",0.00378692855931272
"99",0.00306687973962924
"100",0.00304672251836146
"101",0.00144301919992254
"102",0.00275259162146518
"103",0.00176851698703431
"104",0.00146397788117279
"105",0.00173288527971215
"106",0.00224032039616378
"107",0.00289175256242609
"108",0.00297395670239495
"109",0.00147715878137126
"110",0.00254926417427423
