"","IRF_x1"
"1",0.000364044031502134
"2",0.00192433788475428
"3",0.00358089854963401
"4",0.00443293574633701
"5",0.00443979604698296
"6",0.00415053892113459
"7",0.00389534284095424
"8",0.00367252024264803
"9",0.00338016990843648
"10",0.00325779990509375
"11",0.00314257810372883
"12",0.00307536903944086
"13",0.00277546279234738
"14",0.00255262231148764
"15",0.00228117933016889
"16",0.0021649884424417
"17",0.00205447505233529
"18",0.0020383575205036
"19",0.00198958905216308
"20",0.00194790219319706
"21",0.00187915772989956
"22",0.00159862586092547
"23",0.00144311615864152
"24",0.00128141429220846
"25",0.000955964945646908
"26",0.000804822966132859
"27",0.000745152583508155
"28",0.00067540286938553
"29",0.000518714524708342
"30",0.000517622828731077
"31",0.000322902849931201
"32",0.00017211294153164
