"","IRF_x1"
"1",0.022089202130717
"2",0.137831733200806
"3",0.111607774104685
"4",0.0664932868608645
"5",0.0439691703029847
"6",0.0323791364631718
"7",0.0271798633401886
"8",0.0236608686917819
"9",0.0205111663494222
"10",0.0177828170819845
"11",0.0160728732343505
"12",0.0148732043683815
"13",0.0110804206784577
"14",0.00634639116869673
"15",0.0065160653957882
"16",0.00688556976899057
"17",0.00658158256387343
"18",0.00712477131315139
"19",0.00565187561192977
"20",0.00385495043770853
"21",0.00511788560334491
"22",0.00309412844642233
"23",0.00391155695171969
"24",0.00605767404238704
"25",0.00366656397074767
"26",0.000956488755765224
"27",0.00148112109586445
"28",0.00280727549366767
