"","IRF_x1"
"1",0.0144077543322151
"2",0.00848192699725647
"3",0.00603271140746624
"4",0.00483545431857051
"5",0.00404866886787149
"6",0.00382350550127121
"7",0.00380537878045702
"8",0.00401957192231026
"9",0.0037019578153288
"10",0.00338255994647154
"11",0.00314246591179826
"12",0.00321918777741859
"13",0.00302338463477332
"14",0.0029412283162057
"15",0.00268058478004089
"16",0.00222658561522667
"17",0.00196207613773319
"18",0.00137930809267111
"19",0.000994401015532961
"20",0.000688582892623382
"21",0.000250777143315859
"22",0.000411211652670095
"23",0.000407011170220943
