"","IRF_x1"
"1",0.0705536584757029
"2",0.307275226326272
"3",0.116150985025014
"4",0.0684792183622853
"5",0.0449327790391656
"6",0.0289199220890773
"7",0.0231890682326208
"8",0.0284841320368962
"9",0.0191299754887972
"10",0.0126975594827478
"11",0.0104013702518061
"12",0.012946873308109
"13",0.00927759675372192
"14",0.00418967319105467
"15",0.00791331280541154
"16",0.00633393761780039
"17",0.00516990663546551
"18",0.00996371443589256
"19",0.00229936758967264
"20",0.00225774320242216
"21",0.00977076622248451
"22",0.00795259206087709
"23",0.00474660829542406
"24",0.00077361081241503
