"","IRF_x1"
"1",0.00202862513639212
"2",0.0170075376733439
"3",0.0176479269419265
"4",0.0105243552074418
"5",0.00880995027697434
"6",0.00523149593474795
"7",0.00408200447769864
"8",0.00289082824008049
"9",0.00252170766495636
"10",0.00230507051772571
"11",0.00148378033802302
"12",0.00106538214966608
"13",0.00141698387210751
"14",0.00188336323687182
"15",0.00240985130811097
"16",0.00258765219925545
"17",0.00109331271711079
"18",0.000772629706262238
"19",0.000174965369869041
"20",0.000217314010440967
"21",0.000474765036171904
"22",0.000983570417288845
"23",0.00158098609569297
"24",0.00122627147007083
"25",0.00127143507315987
"26",0.000978630543626532
"27",0.000108956998239198
"28",8.88100614398319e-05
