"","IRF_x1"
"1",0.0225432277845118
"2",0.0707058627016962
"3",0.0139619770710782
"4",0.0124378275776472
"5",0.00910185456230494
"6",0.00897256025369893
"7",0.00689685254113569
"8",0.00770556159262273
"9",0.00573282808633908
"10",0.00542832933378865
"11",0.00407603433838328
"12",0.00660904634407747
"13",0.00353034569982627
"14",0.00522241739809595
"15",0.00315466710379406
"16",0.00351360106996239
"17",0.00373224743190172
"18",0.00419028743065746
"19",0.00234418690976774
"20",0.00335614045555877
"21",0.00136422364306679
"22",0.00448558596664142
"23",0.00363668323823432
"24",0.00360825381083065
"25",0.00279609944676719
"26",0.00225601814087942
"27",0.00178224945967662
"28",0.0025648038700297
"29",0.00147669875021473
"30",0.00194958203283622
"31",0.00254971647714854
"32",0.00133260959478498
"33",0.00313525137292417
"34",0.00327036709940295
"35",0.00253187435721249
"36",0.00132641291537914
"37",0.00295980360496929
"38",0.00166575864348781
"39",0.00270651781511296
"40",0.000512711879146414
"41",0.0013816008708894
