"","IRF_x1"
"1",0.0686687592309083
"2",0.0440490897082141
"3",0.0216800813700503
"4",0.0170928945944802
"5",0.0109704710954173
"6",0.0101406191528054
"7",0.00882691949149001
"8",0.00992046180247655
"9",0.0097996498279103
"10",0.00774722158938954
"11",0.00781656355915001
"12",0.00696210183952808
"13",0.0103411465974473
"14",0.00759853512335351
"15",0.00711350855026872
"16",0.00686182949736413
"17",0.00668635590884868
"18",0.00607779713382614
"19",0.00550125547303479
"20",0.00530395255908616
"21",0.00368154048327247
"22",0.00408859692091678
"23",0.00215699734870264
"24",0.00370168013257071
"25",0.00511796864973981
"26",0.00388486805379001
"27",0.00422702222249071
"28",0.00480411918326945
"29",0.00368388676427896
"30",0.00414542640155955
"31",0.00370096455492091
"32",0.00392893885435627
"33",0.00345111677267867
"34",0.00281438993955023
"35",0.00502620532610328
"36",0.00383732961303873
"37",0.00299802157975414
"38",0.0031195606763147
"39",0.00291393820706984
"40",0.00365463573495529
"41",0.00286113763253677
"42",0.00205588303095167
"43",0.00223622070837751
"44",0.00170096691539674
"45",0.00285061713058263
"46",0.00258964343536564
"47",0.0012768985348471
"48",0.00103573727534581
"49",0.00143849724421233
"50",0.00174374501763663
"51",0.00312917900931664
"52",0.00117169690317569
"53",0.00153506115587824
"54",0.00364139503267775
"55",0.00412940396994341
"56",0.00260102663186173
"57",0.00185948523002552
"58",0.00331634985060619
"59",0.00207395071318943
"60",0.00109974031234667
"61",0.000867998706985946
"62",0.00139808507130511
"63",0.00200715831402262
"64",0.00260628846623193
"65",0.00273292990053614
"66",0.00104874326514076
"67",0.000661426032382698
"68",0.00066991472149829
"69",0.000818808921668732
"70",2.11534512920092e-05
"71",0.00180172510624534
"72",0.00067685756179029
"73",0.00154930298127362
"74",0.00200327049841822
"75",0.00220109597741024
"76",0.00457946432158011
"77",0.00109996099026977
"78",0.00169776405904247
"79",0.00275474477789837
"80",0.00267297923794998
"81",0.0025882822197616
"82",0.00155304061764105
"83",0.00111021335086483
"84",0.00292193094528163
"85",0.00263092067610721
"86",0.00223125434561097
"87",0.00198181415570184
"88",0.00133686959078707
"89",0.00096140589606716
"90",0.00217563985335408
"91",0.00177550887462959
"92",0.00196731352927025
"93",0.00127621256457307
"94",2.10282284665952e-05
