"","IRF_x1"
"1",0.0766659019753041
"2",0.0941028283478289
"3",0.0192377849367913
"4",0.0370512505322517
"5",0.024693617011598
"6",0.0218186612397525
"7",0.0235369272742322
"8",0.0215123519853412
"9",0.0179627600878995
"10",0.0166019666044479
"11",0.0146215182800493
"12",0.0133404278971264
"13",0.0119277367883439
"14",0.0146126828338419
"15",0.0125999478703066
"16",0.0121236861819937
"17",0.0127550812315407
"18",0.00967408820856782
"19",0.0118012135788785
"20",0.0109095231243841
"21",0.0112482528263974
"22",0.0116168084251647
"23",0.0100464236799472
"24",0.0128392777671965
"25",0.0122782801732178
"26",0.011006480794128
"27",0.00829882730103814
"28",0.0104535282959777
"29",0.0155004325733147
"30",0.00913280336962456
"31",0.0115427308237715
"32",0.00918059893604566
"33",0.0121846882109054
"34",0.00851274416704954
"35",0.00838959397397675
"36",0.00587171503789621
"37",0.00840985556657398
"38",0.00662983032994609
"39",0.00994752768224606
"40",0.0063765496628823
"41",0.006333493664457
"42",0.00807489358767824
"43",0.00628054903217996
"44",0.00701195348764164
"45",0.00661441923237376
"46",0.00750256088628801
"47",0.0088466338975587
"48",0.007461715701582
"49",0.00673081965692086
"50",0.00673725772460375
"51",0.00688502151618113
"52",0.00623056395240239
"53",0.0054300182469294
"54",0.00596997546104637
"55",0.00717473413133579
"56",0.00665265136443991
"57",0.00766537191629822
"58",0.00494725351929784
"59",0.00658267924669933
"60",0.00664168026397384
"61",0.00912729360911646
"62",0.00637085074819653
"63",0.00542293675891312
"64",0.00843789619217651
"65",0.00927529921516648
"66",0.00644348267752061
"67",0.00710987669261098
"68",0.00447172196428342
"69",0.00693499846357735
"70",0.00519322334605903
"71",0.00443632350552511
"72",0.00485468102979195
"73",0.00276014759355656
"74",0.00802207359172478
"75",0.00517992828299912
"76",0.00647930774528172
"77",0.005536625129764
"78",0.00495692502925711
"79",0.00711389564172217
"80",0.0061883723733641
"81",0.00850821212376216
"82",0.00520313402029407
"83",0.00587764026315091
"84",0.00718418623459878
"85",0.00973475076198182
"86",0.00782028226205281
"87",0.00930564726853505
"88",0.0127298559493463
"89",0.00516662641356105
"90",0.0140229415904819
"91",0.00579154344188433
"92",0.00740707301085025
"93",0.00758723642927407
"94",0.00812788326037416
"95",0.00881737859201677
"96",0.00994274167788496
"97",0.0108557798293649
"98",0.00754738417132072
"99",0.00951645736861956
"100",0.00597002263439565
"101",0.0089125081859813
