"","IRF_x1"
"1",0.0160465126848516
"2",0.131555363989851
"3",0.0856571471940245
"4",0.0456808861127891
"5",0.0345442054855275
"6",0.0267849296130713
"7",0.0228832296147769
"8",0.0208764344803131
"9",0.0193207149869648
"10",0.0180794947445725
"11",0.0179639156615612
"12",0.0163523009571806
"13",0.0138365564571053
"14",0.00805212659806163
"15",0.00848535230860341
"16",0.00813239861226334
"17",0.00800828922176026
"18",0.00804200845627673
"19",0.00953750151775484
"20",0.00804528334550528
"21",0.0108635398968289
"22",0.00596102754725969
"23",0.00693548947867936
"24",0.0093292873372038
"25",0.00608100614774006
"26",0.00573851928186058
"27",0.0042911797631949
"28",0.00560091326401469
"29",0.00223619619401614
"30",0.0021700504324422
"31",0.000406094458168136
"32",0.000423513502444033
"33",0.00135706721385139
"34",0.00172792488361661
"35",0.000700494466073029
"36",0.00092065414749151
"37",0.00295608064458762
"38",0.00252109752764643
"39",0.00199208415731087
"40",0.00201538843227367
"41",0.00269276790611503
"42",0.000785069136103638
"43",0.00302535280048856
"44",0.00388404568657788
"45",0.00213044448718393
"46",0.0014435246774993
"47",0.0026369889629496
"48",0.001787484240745
"49",0.00227863492888671
"50",0.00168100064456433
"51",0.00165955629681971
