"","catchment_no","criteria","mean_nrmse","mean_r2","mean_nse","mean_kge","n_windows","mean_delta1","mean_shape1","mean_rate1","sd_delta1","sd_shape1","sd_rate1","mean_delta2","mean_shape2","mean_rate2","sd_delta2","sd_shape2","sd_rate2","median_mod_kge","median_mod_delta1","median_mod_shape1","median_mod_rate1","median_mod_delta2","median_mod_shape2","median_mod_rate2","longitude","latitude","region"
"19",1006,best_rmse,1.49415877294027,0.0735687178685548,0.0735687178685548,0.0498297525644728,1,1.81396985123878,0.918117463027321,0.13010164412199,2.19999407794127,0.305218245176442,0.205533660961578,0.843314358870612,0.827361460971826,0.255809741505335,0.391467418282693,0.22739570074341,0.324109669515471,0.0656090339857197,1.14211453080738,0.666490336644578,0.0483027853211783,1.14211453080738,0.666490336644578,0.0483027853211783,-114.420593262,49.8377914429,n.a.
"20",1007,best_aic,0.915546823223371,0.0758061073467388,0.0758061073467388,0.241509057902434,2,3.25076965860304,0.990626752082161,0.10580007842817,3.60800577659803,0.247526328504321,0.164948602477792,0.981321662509155,0.986515583046619,0.243829265504914,0.558763374735377,0.236306776676142,0.271579645363989,0.238732533348121,7.7791543290514,1.09909343931604,0.049293162101967,1.84040159871754,1.09947622073514,0.248722575506896,-114.400543213,49.6018486023,n.a.
"21",1007,best_bic,0.912044987904451,0.0346135829181869,0.0346135829181869,0.235692513402403,1,2.99143642395376,1.03981735886225,0.0959748138912614,3.31129319199065,0.301885996321179,0.142024747356271,1.09460972689177,0.913364908549361,0.216167951131655,0.43130815846142,0.171393921369118,0.234722646426701,0.234169633986378,4.66075090076199,1.41518221126121,0.0728181591606109,1.19414225810956,1.16051899228208,0.591084536339402,-114.400543213,49.6018486023,n.a.
"22",1007,best_rmse,0.925249211344202,0.0118171720290497,0.0118171720290497,0.252550949149969,2,4.57065032015106,1.06909481924104,0.095152521443725,4.68957870792251,0.255937614294076,0.137789775916137,0.897387032406891,1.00112013989947,0.307317875604038,0.566194567265906,0.249023123352539,0.267420958701007,0.240931661229507,1.53778547565383,1.38719140194047,0.0660677792319947,0.569679456972007,1.20943365524164,0.563739942990055,-114.400543213,49.6018486023,n.a.
"23",1008,best_aic,1.68763066923259,-0.550966343168307,-0.550966343168307,0.0178701760569416,2,5.45591705770147,1.08565984729796,0.455577671886652,4.38165177225974,0.0863283815062045,0.451388802348937,1.10641937881781,1.04492965357501,0.632437441898418,0.70296815134237,0.107727328170541,0.466086998460122,0.198108361712932,2.61642620376704,1.16635254034627,1.00098622677824,1.26624286492123,0.929610677107027,0.0823056687187498,-114.238098145,49.7632789612,n.a.
"24",1008,best_bic,1.6563070346844,-0.379360845867505,-0.379360845867505,0.0629351380931628,2,4.3259869434498,1.09154417226434,0.575892839482323,4.34997247888254,0.121333584442537,0.48059175210795,0.91986262431496,1.04544917205998,0.503407063343504,0.639147054783822,0.0723829210400324,0.441120368711962,0.199758985004995,6.16475541450033,0.980084216344108,0.0851156838802739,1.6098723186303,1.14114441854374,0.980078523049524,-114.238098145,49.7632789612,n.a.
"25",1008,best_rmse,1.73750046328845,-1.09137088800005,-1.09137088800005,-0.102729380038553,2,6.87826375118516,1.09732226051366,0.342870368979138,4.63770934151941,0.0864475745736103,0.396152860960882,1.12385115257711,1.06718319248644,0.740835687157968,0.644070729695772,0.107631448777274,0.430055027257363,-0.228580220185758,1.81277229083721,1.06900840764518,0.86618251665836,0.953256185120174,0.990956532118863,0.126342280037668,-114.238098145,49.7632789612,n.a.
"26",1009,best_aic,4.15081296527318,-1.89436088855624,-1.89436088855624,-1.14999977783549,2,5.28696353206917,0.927238842099109,0.376326334981395,4.96909528799358,0.163312952979736,0.425198493785524,0.813977676142621,1.02778004854414,0.72443633388817,0.4061048522249,0.198350270051606,0.456124905991491,-0.230623608776566,7.08244198150185,0.786836967098776,0.0826535651649643,1.18040998435733,1.32803255420071,1.23842708591425,-113.795303345,49.6393814087,n.a.
"27",1009,best_bic,3.72582474752454,-1.57623692843103,-1.57623692843103,-0.897497336398977,1,2.31169806369899,0.798344780226538,0.173545004802438,3.00310851524683,0.109000682416481,0.262267013661004,1.0652266564084,0.851820028518532,0.31818324093696,0.387894551561858,0.180696800943368,0.405158734364291,0.129794728925767,0.993687917817856,0.719592106586441,0.0876204950755409,0.993687917817856,0.719592106586441,0.0876204950755409,-113.795303345,49.6393814087,n.a.
"28",1009,best_rmse,4.13311151435769,-2.04267329619268,-2.04267329619268,-1.19444619307242,2,4.51588013306908,0.935272442555483,0.454874319486096,4.54915793633495,0.150727488059164,0.449296281182232,0.860270425571429,1.08432164262492,0.723133450854068,0.542378741930488,0.280903811095956,0.551444825589533,-0.0247420629160531,6.03277264158022,0.747516885777086,0.084614232923083,1.05514263007263,1.20621986217112,0.939302122040661,-113.795303345,49.6393814087,n.a.
"29",101,best_aic,1.11969859529353,0.220612437926724,0.220612437926724,0.304401655357437,1,2.78373794825092,1.43138738830409,0.180253954695058,4.11227733749852,0.257928581470989,0.140614359748799,1.11031618813756,1.40865777114184,0.208398618014798,0.324510295974913,0.109679888757269,0.174556404171565,0.305293562794181,1.49877867594837,0.886353431962901,0.579470563173346,0.721368664656427,1.31195189752881,0.113605988024733,-103.9416733,54.56111145,n.a.
"30",101,best_bic,1.10600000094589,0.240851693596479,0.240851693596479,0.312737753980486,1,2.11190796249905,1.46179813433365,0.208573769097051,2.70530091222557,0.198062507302947,0.334787111562608,1.00296848659732,1.36368862759976,0.260896856532402,0.354241357376348,0.194834806051761,0.281610333144713,0.32137135319843,3.30749400726894,1.42113099778666,0.142809152082745,1.0889523893781,1.13304609582926,1.10040562876321,-103.9416733,54.56111145,n.a.
"32",1011,best_aic,3.84888270353294,-1.32377039020598,-1.32377039020598,-1.06286831103789,2,6.94629115793823,1.02087630355868,0.271089790558047,4.57512803913303,0.0708513466950284,0.335094041148143,0.910573296638956,1.09844683902607,0.779869580206789,0.369654071932729,0.125820984328609,0.393700284296992,0.132234945489785,5.16570013645184,1.01874190747136,0.103549147210834,0.570485602469289,1.14471129048889,1.06995068436338,-113.663543701,49.9541282654,n.a.
"33",1011,best_bic,3.8038197679134,-1.12910056430868,-1.12910056430868,-0.905684058877127,1,3.5122657538124,0.947309042842654,0.243566825720591,4.45988173164344,0.087916009618127,0.326310070324197,0.985487334132357,0.974022248200414,0.35182240172263,0.425285005690617,0.122635393143207,0.405737818773983,0.0994483878862649,13.1071077826409,0.938733559926615,0.0867961177460976,1.66427954546268,1.23081612148153,1.10561861190404,-113.663543701,49.9541282654,n.a.
"34",1011,best_rmse,4.10370139002464,-1.56835061962142,-1.56835061962142,-1.24619544911054,2,5.61141815671116,1.0549891167896,0.322603451554207,4.62558557726411,0.0872415997536649,0.376909400885988,0.844369317448544,1.04399399242788,0.759095693352047,0.395799522246325,0.0897843276848889,0.388513988152589,0.100344398385053,1.42199578463795,0.917053206940278,0.0877984170989359,0.511428067944496,1.19949574004282,1.10801658550158,-113.663543701,49.9541282654,n.a.
"35",1013,best_aic,1.3780041755343,0.0413417723801248,0.0413417723801248,-0.0384538124377745,1,2.46226695365917,1.23968882556784,0.146687627717448,3.29213569426053,0.203096241674097,0.241386248351076,0.910838785637833,1.19369586779296,0.131594824962614,0.318143734184769,0.162906761739438,0.16141361740791,-0.0403349651007672,7.66489369167507,1.76004973932115,0.0605771113020076,0.82386862220328,1.13582377594527,0.254244519234099,-113.839401245,49.113658905,n.a.
"36",1013,best_bic,1.38017223459845,0.0454850402469113,0.0454850402469113,-0.0410393749560908,1,2.14634245431279,1.17837157955869,0.0615121546816706,2.82754618005698,0.16941505297094,0.0401281544759949,1.04303296744385,1.13953927425772,0.12491804345897,0.353547938848592,0.167744621454454,0.199504800892096,-0.0422416005266326,1.37057338636048,1.07338146550328,0.0526779518237777,1.37057338636048,1.07338146550328,0.0526779518237777,-113.839401245,49.113658905,n.a.
"37",1013,best_rmse,1.38139301303764,0.033619189166438,0.033619189166438,-0.0386643264291333,1,2.77378762652978,1.1615626352484,0.0990463239538493,3.64922331153106,0.153294785420884,0.134305141514318,0.969082991540961,1.15746550507399,0.174862712470582,0.310926486293431,0.172877655057332,0.216489043617448,-0.0436603206894146,0.38901897544978,1.15449363477708,0.566110978453412,0.19419835590676,1.74615961431351,0.0683222719456885,-113.839401245,49.113658905,n.a.
"38",1015,best_aic,5.39686336039396,-0.0171672985674051,-0.0171672985674051,-0.260105657616459,2,6.53201674931848,1.90866095159876,1.28401262204862,5.75167307397855,0.442075742227625,0.312573545333382,1.1223509086386,1.5296701842115,1.08924290479228,0.663045690760901,0.49390064912562,0.421261736906847,-0.00411253131178713,6.16283534714435,1.98053602072267,1.10756813964723,1.03946156895128,1.06633823783315,1.19013606940849,-112.954269409,49.566280365,n.a.
"39",1015,best_bic,5.45852557903757,-0.00268776330805738,-0.00268776330805738,-0.243811700900314,2,3.64899923530781,1.95463767063929,1.1876371462832,4.48654593865008,0.706694155252119,0.271609541243532,0.810264102432465,1.81617428865114,1.21199996409461,0.428211252298296,0.614351578260381,0.466101383186345,-0.0110002510889731,0.693758330302468,2.59371934160963,1.64249146438096,0.693758330302468,2.59371934160963,1.64249146438096,-112.954269409,49.566280365,n.a.
"40",1015,best_rmse,5.47348246260693,-0.00976031840680459,-0.00976031840680459,-0.210692726694719,2,6.48938184107409,1.88875828419105,1.3009596527257,5.15807161175016,0.471201938659175,0.252971149571357,0.840414341672754,1.44446151228034,1.07674929714458,0.469621935847523,0.550498886068228,0.505804636071733,-0.0266974501085755,1.05800863648171,1.02532575812026,1.06250383174415,0.572487986654358,1.88515890001869,1.07419727784677,-112.954269409,49.566280365,n.a.
"41",1016,best_aic,2.47870439019101,-0.0191554860174418,-0.0191554860174418,0.135510548449796,2,5.86170181433346,1.49138652344673,0.48422277810016,6.56843891036371,0.166461174053305,0.304138354464834,0.876730150454297,1.69965854933848,0.951318076169166,0.337762434641709,0.484995317633781,0.539508493540695,0.194380799701639,1.81933496295812,1.43001912753277,0.348059857096963,1.51031699318478,1.77969499053044,1.29608530360085,-113.142562866,49.1250114441,n.a.
"42",1016,best_bic,2.61968720138019,-0.100529821809334,-0.100529821809334,0.110341763730963,1,1.48024418260347,1.33790296687542,0.360438157212769,1.94460992808598,0.066244004707219,0.0182205870019317,1.04020549829651,1.37932120990951,0.441988332941615,0.231811634180884,0.211281665431957,0.290717025918022,0.180288937336345,0.994345811410063,1.31478112581907,0.354010804253604,0.994345811410063,1.31478112581907,0.354010804253604,-113.142562866,49.1250114441,n.a.
