"","catchment_no","criteria","mean_nrmse","mean_r2","mean_nse","mean_kge","n_windows","sd_windows","mean_delta1","mean_sigma1","sd_delta1","sd_sigma1","mean_delta2","mean_sigma2","sd_delta2","sd_sigma2","median_mod_kge","median_mod_delta1","median_mod_sigma1","median_mod_delta2","median_mod_sigma2","longitude","latitude","region"
"22",1011,best_bic,3.37125844898279,-0.743545680696728,-0.743545680696728,-0.47207183045572,2,0,0.269658135142113,6.67650605498507,0.441791080753573,6.91836679051003,0.0640669879490578,5.40614009413971,0.100343570408336,10.6004181661847,-0.0892490874048999,0.206120711364624,6.9932424894047,0.0456502814312039,0.131668043679015,-113.663543701,49.9541282654,n.a.
"23",1011,best_rmse,3.31076216992633,-0.568492653835732,-0.568492653835732,-0.352207225294306,2,0,0.209798564400205,5.6863070257627,0.182988867066826,5.37428448164628,0.0662485971345631,5.13163148232784,0.13316870164564,13.5922009840022,-0.0815235226983664,0.301863080801118,4.14940472022549,0.000277911212094515,0.0397344901345243,-113.663543701,49.9541282654,n.a.
"24",1013,best_aic,1.38546710659272,0.0151520315777292,0.0151520315777292,-0.0577706212079459,2,0,0.480228306475484,0.985393579675229,0.517822003950887,2.92196607572065,0.00446928080083383,11.1557753272571,0.00976750793062647,6.10093478957958,-0.057699371181495,1.16133744883402,0.462230739645111,0.0381136933936984,7.77879146476231,-113.839401245,49.113658905,n.a.
"25",1013,best_bic,1.40583979532906,0.00919012988994615,0.00919012988994615,-0.0710174305485667,2,0,0.409874631534457,2.70735666777493,0.462510367114866,4.50802871109158,0.00545110778598914,7.46901400999595,0.0163322032512348,6.62879840118765,-0.0731266282307714,0.091257032452163,0.0945122076418973,0.00229811062726645,7.4867336026994,-113.839401245,49.113658905,n.a.
"26",1013,best_rmse,1.39570343031743,0.00744338826918497,0.00744338826918497,-0.064273295227524,2,0,0.399290905263514,3.90109398789699,0.433520566052658,5.28027493555939,0.0196369282575369,7.36991308404514,0.0654217337979464,6.31748037214675,-0.0645040202972968,0.00152615703331688,11.1059085368341,0.000459137071847651,0.526575841400268,-113.839401245,49.113658905,n.a.
"27",1015,best_aic,5.08590259103471,0.0217657746633915,0.0217657746633915,-0.072093308825603,2,0,0.207157503487786,3.83763738204825,0.218879530929739,5.33951180778902,0.0672743693610635,2.55148860112135,0.112871301057268,3.8375577283246,-0.0685909455385154,0.530971305710977,0.0547126994446167,0.17738535537662,10.7991659027508,-112.954269409,49.566280365,n.a.
"28",1015,best_bic,6.00016289274716,-0.0939631775967971,-0.0939631775967971,-0.173786460443565,2,0,0.0889014564825081,3.02858695189778,0.168845828231424,3.19323591410288,0.0342544302385626,2.05183663360389,0.0865251100004975,2.80195170966139,-0.160707351732928,0.000487613492246975,5.05915797274402,0.00035464656177548,0.139570839014691,-112.954269409,49.566280365,n.a.
"29",1015,best_rmse,4.99302905154599,0.0152103871492161,0.0152103871492161,-0.0438263651902504,2,0,0.127849105349695,2.37438405870033,0.197913279672071,2.96801439162741,0.0344665243041857,1.92724601335028,0.106160239771653,2.78643142330095,-0.0700462364879408,0.519599400090613,4.40856752974705,0.0243541576237146,0.0870177706271814,-112.954269409,49.566280365,n.a.
"30",1016,best_aic,2.56553888521696,-0.0769270966381817,-0.0769270966381817,0.101455380066119,2,0,0.058635845337346,3.33639004171127,0.145673354320631,1.69727281791785,0.00347954660877401,0.827254090723386,0.00674277874030832,1.3890833621725,0.0860743330465148,0.000124019307990014,6.28110273045485,6.3902581363673e-05,0.420017558573587,-113.142562866,49.1250114441,n.a.
"31",1016,best_bic,2.66797181435633,-0.103694120527269,-0.103694120527269,0.0747373049954458,2,0,0.312281985082591,1.73721581273152,0.385956526977885,1.69592896943854,0.00760548711711138,1.75881124074018,0.0131683054452687,1.7875494544524,0.0804670147509462,0.000159601269599116,2.52090444513532,7.14010300311148e-05,0.35245457141506,-113.142562866,49.1250114441,n.a.
"32",1016,best_rmse,2.65336008310538,-0.0597225185701559,-0.0597225185701559,0.0674450750679072,2,0,0.202275917876928,2.15118378320214,0.290117043042187,1.95894804292543,0.0147823003546965,1.85190479652671,0.0439657444449629,2.98299732267151,0.0768296879439321,0.0148517735165419,4.03779519244971,0.00774417986071854,0.327873995438864,-113.142562866,49.1250114441,n.a.
"33",1019,best_aic,4.90714012668276,-0.135452300933706,-0.135452300933706,-0.185457854156882,2,0,0.0367069178119435,3.64136672512681,0.059582598626034,2.74056459893292,0.00617957895195963,1.74985699958262,0.00791689598855185,2.49856506727754,-0.137588591724465,0.0239326072836865,4.6413059395482,0.00011036766814734,0.0967095295966412,-110.507110596,49.8877792358,n.a.
"34",1019,best_bic,4.95716277910976,-0.183203640826095,-0.183203640826095,-0.154870443609863,2,0,0.0298879886897828,3.67459432915968,0.0459882658427522,2.37339197952966,0.00603546098031876,1.73033373575417,0.00771472965248178,2.81289811906189,-0.137588591724465,0.0239326072836865,4.6413059395482,0.00011036766814734,0.0967095295966412,-110.507110596,49.8877792358,n.a.
"35",1019,best_rmse,4.92893665114043,-0.130958523283782,-0.130958523283782,-0.178982425346586,2,0,0.0770683511522492,3.49178814451028,0.19361672271453,2.67688895359647,0.00521168879739577,1.60994997616084,0.00758020782425343,2.28469735322263,-0.104755838090373,0.00671893734159698,0.167320672177034,0.0032758587455513,5.99100084727991,-110.507110596,49.8877792358,n.a.
