"","IRF_x1"
"1",0.0918670448980501
"2",0.105560333133699
"3",0.0425165294824893
"4",0.0282921813443536
"5",0.0224625291773616
"6",0.0153532071335008
"7",0.0153682578893877
"8",0.0171995596271182
"9",0.0148839388545505
"10",0.0154664804626906
"11",0.0139410820444246
"12",0.0126211028554822
"13",0.013326321282871
"14",0.0116292013587195
"15",0.0109666291620129
"16",0.013059820989614
"17",0.0113688430242857
"18",0.0101227535378968
"19",0.00934305367011476
"20",0.00866287089023594
"21",0.0118099454581036
"22",0.0127166402601537
"23",0.00989334201377903
"24",0.00814149337838501
"25",0.00759606963921709
"26",0.00887633739021011
"27",0.00894989081855399
"28",0.00788341208693151
"29",0.00929942107618045
"30",0.00860137458277431
"31",0.00761449607498306
"32",0.00848676432593852
"33",0.0111697696446443
"34",0.0117876505491715
"35",0.00977855526501909
"36",0.00901560688982987
"37",0.00725121250560664
"38",0.00888930408481242
"39",0.0102805821531035
"40",0.00888481278618196
"41",0.00679354343941306
"42",0.011005606478515
"43",0.00950572370685785
"44",0.0111386644288794
"45",0.0101344753080867
"46",0.00855584988333619
"47",0.00809241871745942
"48",0.00999043004490567
"49",0.00989756141150951
"50",0.00872871525600782
"51",0.00789872175338754
"52",0.00816933056979284
"53",0.00571913267743132
"54",0.00479012930777742
"55",0.00478459585771655
"56",0.00772658358078814
"57",0.00538177145078487
"58",0.00534587687619659
"59",0.00774000943155112
"60",0.00743548002655545
"61",0.00719278465739239
"62",0.00643524783793418
"63",0.00455406017949555
"64",0.00398313810635379
"65",0.00644640416779264
"66",0.0062438424759832
"67",0.00817741846888761
"68",0.00926616950300457
"69",0.00642382224587497
"70",0.00553820532607869
"71",0.00600131483525857
"72",0.00696732386613307
"73",0.00589093221783833
"74",0.00814029309112204
"75",0.00599660159659765
"76",0.00577133118238953
"77",0.00530762030624969
"78",0.00567482104632892
"79",0.0104377150581349
"80",0.00782919650886359
"81",0.00716083664645931
"82",0.00624662864015264
"83",0.00843463271292337
"84",0.00751802434149159
"85",0.0067818602289221
"86",0.00751088037756865
"87",0.00652839805869141
"88",0.00788223958004701
"89",0.00770904408226489
"90",0.00554141696445991
"91",0.00502639156519498
"92",0.00494213193908107
"93",0.00654290115743059
"94",0.00655096410313916
"95",0.00552684497315707
"96",0.00655931794752806
"97",0.00646125419586371
"98",0.00570819071332088
"99",0.00666063194108871
"100",0.00824847250634938
"101",0.00603329893786568
