"","IRF_x1"
"1",0.0257154029144888
"2",0.127204547920743
"3",0.0496373485186899
"4",0.026652788568877
"5",0.0167219273254546
"6",0.0129224426934114
"7",0.00966780710852742
"8",0.00591526818216485
"9",0.00530906500383156
"10",0.00434353869161817
"11",0.00466998705752976
"12",0.00565238455604429
"13",0.00435161410443022
"14",0.00706291817878201
"15",0.00480896724602185
"16",0.003991312219012
"17",0.00479625639985586
"18",0.0031980513532368
"19",0.00357797932123176
"20",0.00655287719476476
"21",0.00294012729844856
"22",0.00235474499856963
"23",0.00693351107696289
"24",0.0101101423528593
"25",0.00112880476509305
"26",0.00634826349140068
"27",0.00600294520737259
"28",0.00535445366939025
"29",0.00208712296019564
"30",0.00319722437959513
"31",0.00812984009311164
"32",0.0099605501499715
"33",0.00234560022757195
"34",0.0033904595508909
"35",0.00289725167267684
"36",0.00263988933788484
"37",0.00201955419907378
"38",0.00382074506713659
"39",0.00359413153367824
"40",0.00228036222275778
"41",0.00540177894700464
"42",0.00163039758072251
"43",0.000805455053065488
"44",0.000208754058693811
"45",0.00116969080604293
"46",0.000784283309234325
"47",0.000325477738622328
"48",0.00077273468305341
