"","IRF_x1"
"1",0.0337153997620411
"2",0.191255521363683
"3",0.113106261198115
"4",0.0601309673359807
"5",0.0329978004383552
"6",0.0246632336458656
"7",0.0207811186822868
"8",0.0203044036011118
"9",0.0188682599897225
"10",0.0170558480486164
"11",0.0121346270592157
"12",0.013135703093091
"13",0.015171137517798
"14",0.0130138354336225
"15",0.00955312280233401
"16",0.00855476892135259
"17",0.00592570220922665
"18",0.00171646242270758
"19",0.00890779021268218
"20",0.00751482645169358
"21",0.00710069053770494
"22",0.00318029616868752
"23",0.0048961901722488
"24",0.00411085151285822
"25",0.00458221847348483
"26",0.00614007611963504
"27",0.00777083949605762
"28",0.00909857506878763
"29",0.00993493489278841
"30",0.0062285389053711
"31",0.00514733277564261
"32",0.0101682339847921
"33",0.00968844261074953
"34",0.00401303864994229
"35",0.00727973235958211
"36",0.00526434262310566
"37",0.00475376254461993
"38",0.0055371359803239
"39",0.00378187711143434
"40",0.00663594923860482
"41",0.0028470932884105
"42",0.00354385094942722
"43",0.0042084916032733
"44",0.00410018525813434
"45",0.00283657808186761
"46",0.00464459013673905
"47",0.00659934272267453
"48",0.00928650034924184
"49",0.00808800389700464
"50",0.0038931250446056
"51",0.00854744369590904
"52",0.00927555005300618
"53",0.00828531703643341
"54",0.00272340118998178
"55",0.00855500321016905
"56",0.0116743421820912
"57",0.0104858978826659
"58",0.00693287105778761
"59",0.00570923210977735
"60",0.00525704436820763
"61",0.00200602320458307
"62",0.00219340163840692
"63",0.000857021144915506
