date,temperature_C,precipitation_mmd,pet_mmd,streamflow_mmd
1981-01-01,-15.5737867355347,3.89163208007813,0.226328447461128,1.23056611855586
1981-01-02,-20.4686851501465,0.399501740932465,0.184538081288338,1.20040518371353
1981-01-03,-29.7324390411377,0.0120297968387604,0.0773803368210793,1.17024424887121
1981-01-04,-29.4270114898682,0.0543126650154591,0.0972517058253288,1.14611552400831
1981-01-05,-18.6487922668457,0.651032209396362,0.182334721088409,1.12198679914542
1981-01-06,-9.88695907592773,10.8527231216431,0.275697469711304,1.09785807428253
1981-01-07,-16.1641445159912,0.712360322475433,0.229717031121254,1.0737292343648
1981-01-08,-21.0008277893066,0.193978026509285,0.13765187561512,1.04960050950191
1981-01-09,-16.4468936920166,2.23803925514221,0.199776858091354,1.02547178463902
1981-01-10,-22.5273571014404,0.0962660312652588,0.117699690163136,1.00134305977612
1981-01-11,-28.7670440673828,0.00199329014867544,0.0898571535944939,0.977214334913237
1981-01-12,-25.6174774169922,0.0218449253588915,0.126078367233276,0.953085552522926
1981-01-13,-17.571325302124,0.397909373044968,0.221132069826126,0.928956770132616
1981-01-14,-14.1514911651611,0.0631476491689682,0.224354729056358,0.910860255249153
1981-01-15,-13.9170064926147,3.40678596496582,0.287732034921646,0.892763682838278
1981-01-16,-11.3784236907959,1.22176027297974,0.294634103775024,0.874667110427398
1981-01-17,-16.7296752929688,0.035368274897337,0.175524786114693,0.856570538016518
1981-01-18,-12.3028984069824,0.0474706739187241,0.323444485664368,0.838473965605644
1981-01-19,-4.09346723556519,0.00180345331318676,0.286873489618301,0.82037745072218
1981-01-20,-9.68565082550049,0.00076464336598292,0.270927757024765,0.802280878311306
1981-01-21,-12.632266998291,0.0516260862350464,0.294740259647369,0.784184305900426
1981-01-22,-4.31120824813843,1.03660440444946,0.317768484354019,0.766087733489546
1981-01-23,-5.78465747833252,0.91608852148056,0.270769596099854,0.747991161078671
1981-01-24,-6.07520723342896,0.011646818369627,0.303561598062515,0.735926798647221
1981-01-25,-6.77496814727783,0.671397566795349,0.350521922111511,0.723862436215778
1981-01-26,2.05009245872498,1.07603847980499,0.706084132194519,0.735926798647221
1981-01-27,-6.31212902069092,0.202250063419342,0.409758418798447,0.754023371058102
1981-01-28,-13.5785293579102,0.077026478946209,0.263489753007889,0.741959008626658
1981-01-29,-13.2771635055542,0.0093504348769784,0.299350649118423,0.723862436215778
1981-01-30,-16.5772686004639,0.00128064013551921,0.233900189399719,0.705765863804897
1981-01-31,-14.2322912216187,0,0.332528203725815,0.693701501373454
1981-02-01,-6.65363073348999,13.1220693588257,0.327182948589325,0.705765863804897
1981-02-02,-6.6890926361084,10.3327531814575,0.427709311246872,0.717830226236347
1981-02-03,-21.8797836303711,0.612383246421814,0.254894316196442,0.687669291394023
1981-02-04,-18.697452545166,0.825850248336792,0.240880221128464,0.657508356551699
1981-02-05,-20.9952945709229,0.462363868951798,0.246663495898247,0.633379631688805
1981-02-06,-9.3607349395752,3.9660804271698,0.415408402681351,0.615283059277925
1981-02-07,-6.7387433052063,4.00596857070923,0.391168206930161,0.603218696846481
1981-02-08,-5.72310876846313,1.40445339679718,0.463932514190674,0.591154334415035
