"","IRF_x1"
"1",0.00109758583646998
"2",0.0152320661703605
"3",0.0155663509680358
"4",0.00505619888545254
"5",0.00360772286639222
"6",0.00166731642275395
"7",0.00267727331925471
"8",0.0022171360607706
"9",0.00423084830368022
"10",0.0036747468565184
"11",0.00183195398208335
"12",0.0026163216186417
"13",0.00237422988176173
"14",0.00170612370023796
"15",0.00103844842044633
"16",0.000980648749626995
"17",0.000658542455482095
"18",0.002527645851126
"19",0.00017742198621874
"20",0.000605898706584988
"21",0.00169476576134633
"22",0.00181742121441792
"23",0.00303618949097113
"24",0.0017246194465437
"25",0.000593962227763668
"26",0.000652454242530021
"27",0.00151426227819993
"28",0.00115104284794526
"29",0.00106551394271281
