"","IRF_x1"
"1",0.00446164460774166
"2",0.0153018426976773
"3",0.0078473899347724
"4",0.00323747723016901
"5",0.00232973160145878
"6",0.0025073215969619
"7",0.00269718527946157
"8",0.00345922616773085
"9",0.00417544259228353
"10",0.00416364613385248
"11",0.00356345330927759
"12",0.00318690649432978
"13",0.0029637903568013
"14",0.00292142130628333
"15",0.00326259688272828
"16",0.00323368264567885
"17",0.00296857650168566
"18",0.00295298533249743
"19",0.0028691716996769
"20",0.00280156841061915
"21",0.00240763514580955
"22",0.00141485095028469
"23",0.00125973071888213
"24",0.00131377954118574
"25",0.00133588408708525
"26",0.001235683421265
"27",0.00121775973561633
"28",0.000918597802502893
"29",0.000759806538825706
"30",0.000867519704244334
"31",0.000496620193565807
"32",0.000147488112722399
"33",0.000161300511802122
"34",0.000421967639127996
"35",0.000749342272146927
"36",0.000226186357325244
"37",3.75658622593237e-05
