"","catchment_no","criteria","mean_nrmse","mean_r2","mean_nse","mean_kge","mean_delta","mean_shape","mean_rate","sd_delta","sd_shape","sd_rate","median_mod_kge","median_mod_delta","median_mod_shape","median_mod_rate","longitude","latitude","region"
"1",1,best_aic,0.546021880641978,-0.479546083252186,-0.479546083252186,0.184279988825203,0.863808279017495,1.24508821217387,0.0105058874236886,0.332216937260076,0.230839379900759,0.00294773310802496,0.201258548511878,1.05240021022592,1.09596325020177,0.00889757468064137,-104.7358322,55.64749908,n.a.
"2",1,best_aic,0.546021880641978,-0.479546083252186,-0.479546083252186,0.184279988825203,0.863808279017495,1.24508821217387,0.0105058874236886,0.332216937260076,0.230839379900759,0.00294773310802496,0.201258548511878,1.05240021022592,1.09596325020177,0.00889757468064137,-104.7358322,55.64749908,n.a.
"3",1,best_bic,0.553219367162634,-0.780352030090616,-0.780352030090616,0.156710212036159,0.977915718129642,1.21201164016801,0.00981147825121412,0.336635894956663,0.242878147090386,0.00374644469550521,0.209840432637519,0.71134623466257,1.17271127617374,0.00837048017727057,-104.7358322,55.64749908,n.a.
"4",1,best_rmse,0.545235606926979,-0.483395591048904,-0.483395591048904,0.198387012279122,1.01315372923642,1.16861496978098,0.0100110091000192,0.256118498422862,0.188768718553476,0.00268680555291267,0.214930816611403,0.922680681689199,0.750019352948401,0.00481962653268844,-104.7358322,55.64749908,n.a.
"5",100,best_aic,2.06177002980265,0.244682999643378,0.244682999643378,0.304754972798504,1.08427143327667,2.09360562805318,0.628269672041605,0.724276614091217,0.207359584339912,0.0838971743660721,0.304362151397591,0.441351072338879,2.34911180850052,0.734974951937487,-117.2057037,54.75201035,n.a.
"6",100,best_bic,2.14412044551064,0.222106323769455,0.222106323769455,0.259136791362661,1.14431347669379,1.99852136129366,0.582466303243303,0.636274830769845,0.274918737190523,0.111395234780522,0.259922190418246,0.323653138461629,2.17489445193455,0.652445566951691,-117.2057037,54.75201035,n.a.
"7",100,best_rmse,2.11532307719892,0.240813746465205,0.240813746465205,0.280207594419883,1.14809255952214,1.96166172319978,0.570434682175804,0.465132014731043,0.248422897145778,0.0990620588627204,0.259684253930189,0.0419618508504526,2.0959174518273,0.637430351634946,-117.2057037,54.75201035,n.a.
"8",1000,best_aic,1.71822141191892,0.18541864801637,0.18541864801637,0.258683469338755,0.905970384799429,0.645763108590847,0.109616959449964,0.280666416550792,0.0639653358108647,0.0301046826032525,0.272466357044918,0.681184499889785,0.616085980624515,0.0928564028765361,-113.947692871,49.4864006042,n.a.
"9",1000,best_bic,1.70227880181253,0.186798265700023,0.186798265700023,0.265334470764651,0.944820950822885,0.661215235133215,0.114500896565165,0.27637529626218,0.0693660138634606,0.022102370124448,0.3074031878626,0.63129726449452,0.610108403437407,0.0903226054656235,-113.947692871,49.4864006042,n.a.
"10",1000,best_rmse,1.72145605484595,0.156880281047854,0.156880281047854,0.2518072441019,0.899735023104132,0.648063481174879,0.115391984969503,0.285424328940379,0.08860740580995,0.0401270688372828,0.267059854190156,0.6560512757782,0.596403893492121,0.0855058258718787,-113.947692871,49.4864006042,n.a.
"11",1003,best_aic,1.46639165609412,0.0492297705035817,0.0492297705035817,0.0511873172375808,1.05726679808411,0.79010061547907,0.0587211399094161,0.249619872910474,0.0942977906631206,0.010906358536951,0.0510129230481334,1.33607951430573,0.766864296026694,0.05042749127637,-114.144378662,49.488658905,n.a.
"12",1003,best_bic,1.48783203819749,0.0429338889490547,0.0429338889490547,0.0361269353770444,0.96366331776497,0.845916169257649,0.0611077712342251,0.315274953141289,0.229771043173334,0.0163933292647026,0.0333480786717598,0.1217918686706,1.57428686131703,0.109672245492938,-114.144378662,49.488658905,n.a.
"13",1003,best_rmse,1.47159638815273,0.0405636767301784,0.0405636767301784,0.0463667502669942,0.963405079099959,0.774928852138084,0.0578910561051609,0.248637812569743,0.102284375191035,0.01242757827837,0.0460711782251908,0.101466554312712,0.707492249974821,0.0533948174841873,-114.144378662,49.488658905,n.a.
"14",1004,best_aic,1.58205292913552,-0.000332841414296472,-0.000332841414296472,0.129178339572834,1.058619236793,0.837181709407969,0.0840189852427142,0.236160740719933,0.0955146894231394,0.0204689422864577,0.120379277126475,1.05848962344054,0.886773270636767,0.0932838848496967,-114.183326721,49.8138885498,n.a.
"15",1004,best_bic,1.55671623659405,0.0378274957670241,0.0378274957670241,0.145296296060359,1.02524515258855,0.856441195549226,0.0872388553170691,0.262580381813628,0.129057254337841,0.0209918150930674,0.149471816212663,1.0656501907549,0.780273684942064,0.0729033931433116,-114.183326721,49.8138885498,n.a.
"16",1004,best_rmse,1.54416200314365,0.0491387779423305,0.0491387779423305,0.147773461606701,0.863204519769755,0.829649277059075,0.081953438061582,0.257346644350879,0.0876936954368962,0.013146175897556,0.122302629278876,0.879973194085714,0.926832437004245,0.0978148272362167,-114.183326721,49.8138885498,n.a.
"17",1006,best_aic,1.48799921045465,0.066936028465528,0.066936028465528,0.0488302577252933,0.94911918397388,0.687657424391363,0.0595486407426824,0.342496674651212,0.0597966669888088,0.00585711307295376,0.0636851743224245,1.40466020421554,0.710095407832028,0.0574391382097288,-114.420593262,49.8377914429,n.a.
"18",1006,best_bic,1.4743694180964,0.0835264556529355,0.0835264556529355,0.0595392588855245,0.87237840575376,0.745334766479531,0.065658375613421,0.35735132007948,0.127196625670979,0.0180961349239218,0.0660631031074826,0.862396460974191,0.680142102215424,0.0530833665647072,-114.420593262,49.8377914429,n.a.
"19",1006,best_rmse,1.50216795472619,0.06013780060359,0.06013780060359,0.0500339243899648,0.804470485682011,0.70392813511487,0.0677439138195702,0.327476148427622,0.105305287493584,0.0445621554701729,0.0658877413179796,0.576686299946179,0.674530705488659,0.0528412599893121,-114.420593262,49.8377914429,n.a.
"20",1006,best_rmse,1.50216795472619,0.06013780060359,0.06013780060359,0.0500339243899648,0.804470485682011,0.70392813511487,0.0677439138195702,0.327476148427622,0.105305287493584,0.0445621554701729,0.0658877413179796,0.576686299946179,0.674530705488659,0.0528412599893121,-114.420593262,49.8377914429,n.a.
"21",1009,best_bic,3.81191459262897,-1.58043879553278,-1.58043879553278,-0.873639585475389,1.11581032122746,0.762598794371676,0.10053874572008,0.34376611279533,0.0436546217680071,0.0150979120618967,0.0648984979579496,1.66114420290272,0.779020812735185,0.0915646446743431,-113.795303345,49.6393814087,n.a.
"22",1011,best_bic,3.96948628462004,-1.33804206145328,-1.33804206145328,-1.10345744866543,1.07991051283995,1.00744457814884,0.124824854138951,0.283599585841255,0.149846694557595,0.0353033088937611,0.132153955070682,0.617501564664136,0.876121825026938,0.0925044202059569,-113.663543701,49.9541282654,n.a.
"23",1015,best_aic,5.09959539793853,0.0191703451351422,0.0191703451351422,-0.186818504619904,1.02138742833617,1.57453625339343,0.943011454752937,0.480664732949041,0.465305157729875,0.438131470410868,0.00768620868166692,0.925778376266327,1.27085082489017,0.605230311451135,-112.954269409,49.566280365,n.a.
"24",1015,best_bic,5.35843619249357,0.0239906067853449,0.0239906067853449,-0.256016797320171,1.09157212465106,1.489412662263,0.830718697239565,0.359013242008518,0.270935595608111,0.277552006808907,0.00598051595185112,1.32143689209345,1.39897019212453,0.640557239391156,-112.954269409,49.566280365,n.a.
"25",1015,best_rmse,5.07560807553914,0.0388026293981378,0.0388026293981378,-0.200631039567605,1.13769243390333,1.52577051945561,0.854320495156085,0.398100128507178,0.321281417311712,0.323458000881518,0.00300510708408708,1.06238587051014,1.26163795670429,0.602704306049296,-112.954269409,49.566280365,n.a.
"26",1016,best_aic,2.44626370257879,0.055358380705307,0.055358380705307,0.156560906605169,1.04393428217204,1.30012869995844,0.347568274340206,0.169691331482458,0.0650177785333999,0.0272276911555428,0.190399621176756,0.959369228590818,1.26337330998378,0.324795890730244,-113.142562866,49.1250114441,n.a.
"27",1016,best_bic,2.42254637374704,-0.00308639155473347,-0.00308639155473347,0.174440965590428,1.04743294206533,1.29510000339417,0.351898791826509,0.160753633202207,0.105786056799824,0.0398945594694972,0.193959318545369,1.14537554934704,1.25686863565161,0.323772065971999,-113.142562866,49.1250114441,n.a.
"28",1016,best_rmse,2.45709850990673,-0.0169487049410536,-0.0169487049410536,0.169824742112644,0.985508009042693,1.32851731478299,0.362964922257137,0.19838912031454,0.0432647406873484,0.0207951178647247,0.208388856111753,0.989806322582346,1.33788542776468,0.36391886800506,-113.142562866,49.1250114441,n.a.
"29",1019,best_aic,4.94850868669976,-0.121683078165864,-0.121683078165864,-0.201228018890259,1.0585598823727,1.7874059861844,1.17576418646063,0.400475082891648,0.749314811173293,0.793316177428536,-0.206224427536686,0.776430293954203,0.997344354782854,0.526184087355214,-110.507110596,49.8877792358,n.a.
"30",1019,best_bic,4.80834912074388,-0.0940460770841417,-0.0940460770841417,-0.210177162295347,0.891417762512335,1.45455964741769,0.843699968759907,0.395117793549191,0.627053142630986,0.653533154379897,-0.203837913912602,0.718033091553394,1.19993783952188,0.512150672360398,-110.507110596,49.8877792358,n.a.
"31",1019,best_rmse,4.84974378763554,-0.115471122057361,-0.115471122057361,-0.215864465701863,1.10642330445495,1.49397166469702,0.916971390515465,0.486339346729839,0.633584905489039,0.652287174307034,-0.206570490620508,1.1516875756957,1.12079747544828,0.562618417940818,-110.507110596,49.8877792358,n.a.
"32",102,best_aic,1.40691713362457,-0.0610531712789654,-0.0610531712789654,-0.42340931640907,1.12480226308192,1.05979420950293,0.00648901682319903,0.270090053647728,0.146416115971122,0.00200134568415611,-0.430764231570404,1.19642201425105,1.13074766155213,0.00721297478614664,-123.0355606,54.99583054,n.a.
"33",102,best_bic,1.39883245995316,-0.0601571593377464,-0.0601571593377464,-0.415736302803534,1.20913938955551,1.07205784555027,0.00661886404928467,0.259833253385381,0.220917911136895,0.0049594663794469,-0.436355198090774,1.0234884827026,1.14667128788866,0.0080298816663627,-123.0355606,54.99583054,n.a.
"34",102,best_rmse,1.41715050853269,-0.0664198253245975,-0.0664198253245975,-0.421280618568045,1.11260061578979,1.08996643363062,0.00845564218603283,0.292147564325502,0.167589236404664,0.0110585304529254,-0.430256813215674,0.81819055377646,1.16601226264469,0.00581330584179288,-123.0355606,54.99583054,n.a.
"36",1020,best_bic,12.0541555500292,-0.0235814006122465,-0.0235814006122465,-0.681444709704837,0.943084594606543,1.25361161315516,0.150215520521598,0.19120599426969,0.153932468219575,0.150756888440222,-0.499885824611616,0.999907582868251,1.19727155444482,0.334468235016814,-110.257591248,50.1634788513,n.a.
"37",1020,best_rmse,11.2924509203399,-0.0337237855845139,-0.0337237855845139,-0.783835013554608,0.965522462011212,1.24764129491057,0.0962804825662681,0.0832279278921179,0.136119031505487,0.142829780616343,-0.6178418374112,0.865919543535104,1.59740108461659,0.00213085137049971,-110.257591248,50.1634788513,n.a.
"38",1022,best_aic,1.03336340416271,0.117354526640173,0.117354526640173,0.109667917830965,0.982368877832426,1.10545920701764,0.0568487590549703,0.242874778512052,0.254751730063296,0.0122972756541246,0.110488525449076,0.965152583101161,1.1403948496815,0.0576520602320201,-115.571769714,51.1722297668,n.a.
"39",1022,best_bic,1.03652119840171,0.111914809981949,0.111914809981949,0.112890494561101,0.953435059731436,1.13229805264526,0.0590898316019447,0.266782273508888,0.245871151386746,0.0150082821502234,0.113772149075445,0.795075767532094,1.10702028480495,0.0543100950626075,-115.571769714,51.1722297668,n.a.
"40",1022,best_rmse,1.04005259874293,0.121307907763996,0.121307907763996,0.119753165938612,1.0647676587454,1.07611765148658,0.0564564414908167,0.173073578074807,0.202172494426799,0.0101106901033192,0.121214711739429,1.19504889838507,1.0810514144816,0.0551086611555769,-115.571769714,51.1722297668,n.a.
