"","catchment_no","criteria","n_windows","sd_windows","nrmse","r2","nse","kge","longitude","latitude","region"
"1",1,best_aic,1,0.936304793679209,0.52328884382549,-0.475117323902816,-0.475117323902816,0.224056941554646,-104.7358322,55.64749908,n.a.
"2",1,best_aic,1,0.936304793679209,0.52328884382549,-0.475117323902816,-0.475117323902816,0.224056941554646,-104.7358322,55.64749908,n.a.
"3",1,best_bic,1,0.945163125250522,0.538094078939999,-0.390409816687927,-0.390409816687927,0.215448376998677,-104.7358322,55.64749908,n.a.
"4",1,best_rmse,1,0.907377172587747,0.530632071966471,-0.426858486366429,-0.426858486366429,0.228005243637477,-104.7358322,55.64749908,n.a.
"5",100,best_aic,2,0.645497224367903,2.14899171029211,0.230574661595396,0.230574661595396,0.26666374041029,-117.2057037,54.75201035,n.a.
"6",100,best_bic,1,0.276887462097269,2.11389335243872,0.233634326342856,0.233634326342856,0.273004946613873,-117.2057037,54.75201035,n.a.
"7",1000,best_aic,2,0.408248290463863,1.72136957364961,0.14470370443826,0.14470370443826,0.234451597120065,-113.947692871,49.4864006042,n.a.
"8",1000,best_bic,2,0,1.72035734837311,0.150935725525186,0.150935725525186,0.234675094803098,-113.947692871,49.4864006042,n.a.
"9",1000,best_rmse,2,0.509901951359279,1.73375355747587,0.120106683759162,0.120106683759162,0.22515452807706,-113.947692871,49.4864006042,n.a.
"10",1003,best_aic,3,0.714142842854285,1.47099394767071,0.0770906642003927,0.0770906642003927,0.0560608374948273,-114.144378662,49.488658905,n.a.
"11",1003,best_bic,1,0.58309518948453,1.46723581663126,0.0664858418101462,0.0664858418101462,0.0527296618826694,-114.144378662,49.488658905,n.a.
"12",1003,best_rmse,3,0.556776436283002,1.48076651417546,0.0690150147067902,0.0690150147067902,0.0483428918223422,-114.144378662,49.488658905,n.a.
"13",1004,best_aic,2,0.881286937760152,1.56126178860821,0.0397575574515055,0.0397575574515055,0.149530149620676,-114.183326721,49.8138885498,n.a.
"14",1004,best_bic,1,0.276887462097269,1.5565548895398,0.0478903717670621,0.0478903717670621,0.14869429114814,-114.183326721,49.8138885498,n.a.
