"","IRF_x1"
"1",0.098210513608592
"2",0.120057657185069
"3",0.0730969756230702
"4",0.0407037659522604
"5",0.0242847618569232
"6",0.0191943577211971
"7",0.0156207596696731
"8",0.012557401641925
"9",0.011902345176524
"10",0.0115270589686014
"11",0.0100867600050157
"12",0.0104807263866901
"13",0.0107192272564615
"14",0.00945192614236742
"15",0.0109195340709599
"16",0.0097632020016884
"17",0.0105495474992651
"18",0.0124965752852177
"19",0.0102487608975486
"20",0.0078353070710399
"21",0.00833370808675136
"22",0.00695205006687415
"23",0.00585454610969854
"24",0.0079304335051498
"25",0.00971731076290731
"26",0.00692106985383289
"27",0.00651748113565196
"28",0.00783253808765984
"29",0.00870444409106174
"30",0.00736682197016955
"31",0.00633536699121205
"32",0.00542726302248774
"33",0.0060063866139442
"34",0.00820455983857966
"35",0.00785678336352632
"36",0.00739325640885491
"37",0.00619989423145802
"38",0.00605945440695389
"39",0.00770538393441307
"40",0.00568521254037296
"41",0.00623332459979561
"42",0.00613985994278666
"43",0.0068712849736504
"44",0.00505581790833364
"45",0.00491468444590225
"46",0.00800952871797173
"47",0.0075787027817886
"48",0.00569671324910104
"49",0.00654661446468108
"50",0.00907598245196936
"51",0.00967025338482081
"52",0.00664325682420554
"53",0.0045470442906359
"54",0.00444226278285902
"55",0.00625447542193176
"56",0.00696804987733177
"57",0.00735844415234902
"58",0.00658385950294803
"59",0.00837675900626144
"60",0.00974575106273446
"61",0.00865013911132657
"62",0.00606393583899172
"63",0.00580041873816167
"64",0.00583147128336277
"65",0.00870651856409092
"66",0.00898451673826434
"67",0.00643781655454076
"68",0.0067559455671594
"69",0.00593054869190176
"70",0.00471005776324125
"71",0.00438545311435583
"72",0.00515114041272626
"73",0.00726589747934801
"74",0.00800114653663748
"75",0.00854203500876274
"76",0.00666688186309463
"77",0.00602411522912946
"78",0.00614261491450011
"79",0.00704952614118072
"80",0.00768193146094796
"81",0.00910274217236647
"82",0.00913377596610574
"83",0.00680422489722358
"84",0.00672778012757437
"85",0.00432305699636438
"86",0.0025409971675355
"87",0.00534351153863537
"88",0.00640633775681759
"89",0.00499809118609612
"90",0.00291914507348565
"91",0.00404090350188979
"92",0.00592885413033606
"93",0.00687477044233423
"94",0.00615907901135323
"95",0.00448691447165704
"96",0.00450164623926087
"97",0.00668526392354766
"98",0.00640419248770475
"99",0.00549532889651446
"100",0.00590717422749928
"101",0.00302641594127989
