"","IRF_x1"
"1",0.0115401162808971
"2",0.0167768331951181
"3",0.0120681902951999
"4",0.0109737014877492
"5",0.00974358582611427
"6",0.00722453296184055
"7",0.00751716210918245
"8",0.00644737050856174
"9",0.0051347271509554
"10",0.00583032913190837
"11",0.00606539507816751
"12",0.00561596579794307
"13",0.004130046462742
"14",0.00293950303808426
"15",0.00368482524924176
"16",0.00371062876763698
"17",0.0029694548102197
"18",0.0037492685447217
"19",0.00408373661522894
"20",0.00435949940727204
"21",0.00465972385687215
"22",0.00523348029267343
"23",0.00455998025107884
"24",0.00206465739090899
"25",0.00154134306098137
"26",0.00142068196705531
"27",0.000263256981836927
"28",0.000785026500095227
"29",0.000383306833091484
