"","catchment_no","n_bad_runs","mean_kge","median_kge","AR_order","my_kge","country"
"1","1",0,0.999569222684272,0.999621089234749,2,0.212432931512421,"CA"
"2","100",0,0.880168798971531,0.8768000512766,2,0.26251522322212,"CA"
"3","1000",0,0.738259804613281,0.742417880650803,1,0.304819766079997,"CA"
"4","1003",0,0.916079391209599,0.91050797224385,3,0.0551883479184546,"CA"
"5","1004",0,0.945751251743782,0.945852988973319,3,0.121819542397351,"CA"
"6","1006",0,0.863184142281315,0.856493950076382,3,0.0634216366827204,"CA"
"7","1007",0,0.910930100634978,0.915576162545605,1,0.234169633986378,"CA"
"8","1008",0,0.733272031640561,0.735645198630347,1,0.199758985004995,"CA"
"9","1009",0,0.735666793082859,0.709734120400279,1,0.129794728925767,"CA"
"10","101",0,0.983984195173298,0.983788773356428,3,0.32137135319843,"CA"
"11","1011",0,0.808582865579151,0.814704269490529,1,0.0994483878862649,"CA"
"12","1013",0,0.975344440826862,0.975110889605208,2,-0.0422416005266326,"CA"
"13","1015",0,0.501391287546572,0.519023960037953,1,-0.0110002510889731,"CA"
"14","1016",0,0.870106516667373,0.871750879829838,2,0.180288937336345,"CA"
"15","1019",0,0.461765393390965,0.457110663972982,1,-0.196189527997333,"CA"
"16","102",0,0.991424131493769,0.991637318731965,2,-0.399320190942273,"CA"
"17","1020",0,0.522232858169828,0.5360437816404,1,NA,"CA"
"18","1022",0,0.984155672813462,0.984737094356081,2,0.116954538512541,"CA"
"19","1030",0,0.795964033994071,0.744413053038111,1,0.464086436591185,"CA"
"20","1031",0,0.883381569888078,0.899973241151662,1,0.307864090668803,"CA"
"21","1032",0,0.544053162465995,0.547407098670373,1,-0.154040618342855,"CA"
"22","1034",0,0.737096964566763,0.745968618173733,9,0.249359615022304,"CA"
"23","1035",0,0.682605149637548,0.59167195766453,3,0.229268611398824,"CA"
"24","1036",0,0.702785942798432,0.704869855060232,3,0.154608161066878,"CA"
"25","1038",0,0.601156366039904,0.599062013968147,1,-0.0464802889503071,"CA"
"26","1039",0,0.766043838063279,0.765323917667939,2,0.309381021397967,"CA"
"27","104",0,0.955660106428639,0.955556405389562,3,0.282027054937115,"CA"
"28","1041",0,0.814248293755871,0.811999727272543,2,-0.402653475191712,"CA"
"29","1042",0,0.404178270102008,0.399574166692948,1,-0.540120990813941,"CA"
"30","1043",0,0.773288763228244,0.780370675008335,1,0.46571428635517,"CA"
"31","1044",0,0.907613181285101,0.902352471062543,2,0.188118187843981,"CA"
"32","1045",0,0.825976600316452,0.822478222297894,1,0.235872687354876,"CA"
"33","1046",0,0.703229439887795,0.717647777280699,1,0.413205419341543,"CA"
"34","1047",0,0.8891855190897,0.886882323738684,2,0.232548035137501,"CA"
"35","1048",0,0.915002303292579,0.922532043377391,3,0.408049481725038,"CA"
"36","1049",0,0.889896790515102,0.888135474890525,3,0.0954367336380118,"CA"
"37","105",0,0.998284748626075,0.998276197526385,5,-0.0852274719337576,"CA"
"38","1050",0,0.942141364858785,0.941168991411512,2,0.251265066956393,"CA"
"39","1051",0,0.833515888891337,0.820647405155771,2,NA,"CA"
"40","1052",0,0.548195757228566,0.544200411032657,1,NA,"CA"
"41","1053",0,0.711489919566768,0.704452251913258,3,-0.391302859006059,"CA"
"42","1054",0,0.806150443291623,0.80269498293424,2,-0.394968193500767,"CA"
"43","1055",0,0.859058001415083,0.851512426443089,2,-0.462133723731659,"CA"
"44","1056",0,0.879033753728634,0.87878481045866,12,-0.413719554885637,"CA"
"45","1057",0,0.739924281742139,0.764278151483777,3,-0.325332713347001,"CA"
"46","1058",0,0.694115726000552,0.698608820870213,1,-0.431326362665152,"CA"
"47","1059",0,0.646904700989366,0.651438937541306,2,-0.353394865393448,"CA"
"48","106",0,0.947741643923376,0.94714379471469,3,-0.362798121315022,"CA"
"49","1060",0,0.752598183306958,0.751931250917091,2,-0.396034515249534,"CA"
"50","1061",0,0.845159372947968,0.84613487613604,2,-0.444992388983945,"CA"
"51","1062",0,0.55203310582779,0.523627286845187,2,-0.66024500019384,"CA"
"52","1063",0,0.66774536514014,0.646291118099872,2,-0.602142867701449,"CA"
"53","1064",0,0.216612496312164,0.202870806102606,3,-0.611639497484932,"CA"
"54","1065",0,0.988411659869677,0.989190547543156,3,0.155710244660561,"CA"
"55","1066",0,0.985843026646376,0.985725701997107,3,0.15444647493003,"CA"
"56","1067",0,0.933161744016265,0.934489062256491,2,0.0966539567574989,"CA"
"57","1068",0,0.935290563961582,0.937208406957548,3,0.593489894764335,"CA"
"58","1069",0,0.831774074921152,0.824303108912713,1,0.494019391845676,"CA"
"59","107",0,0.984870954788035,0.985009349570279,2,-0.28948128386441,"CA"
"60","1070",0,0.848437062330789,0.852832657856385,2,0.554073636746961,"CA"
"61","1071",0,0.828941820775454,0.831125441510982,1,0.578965106487035,"CA"
"62","1072",0,0.893699978853815,0.894802819269211,1,0.407687931484212,"CA"
"63","1075",0,0.780738782889632,0.776631990596387,1,0.46216022483179,"CA"
"64","1076",0,0.725178344001097,0.725133548686212,2,0.0783693978503865,"CA"
"65","1078",0,0.612414173725978,0.633530373442407,2,-0.293039721066618,"CA"
"66","1079",0,0.984546957543912,0.984370015317516,2,-0.538081653582828,"CA"
"67","108",0,0.811751359599902,0.811396947646608,1,-0.285136713865069,"CA"
"68","1081",0,0.972779124045737,0.975683830047223,2,-0.285758899157204,"CA"
"69","1082",0,0.674457797122574,0.67420438625732,1,0.107871169147937,"CA"
"70","1084",0,0.836440111249513,0.838485277373826,2,NA,"CA"
"71","1085",0,0.938363436270111,0.938202592472013,2,-0.5459000054426,"CA"
"72","1086",0,0.701112283950799,0.698708508356299,2,-0.370537953123283,"CA"
"73","1087",0,0.676252611197733,0.675597042162474,2,-0.526342740709708,"CA"
"74","1088",0,0.836771015940878,0.873526921604295,2,-0.470849149657298,"CA"
"75","1089",0,0.856956625583791,0.847222094377387,2,-0.00650644031776482,"CA"
"76","1091",0,0.877135550326731,0.870922820730957,2,-0.542052399706863,"CA"
"77","1092",0,0.795811411754721,0.800565059093323,2,-0.524537536987709,"CA"
"78","1093",0,0.943555261347677,0.945757133457411,2,-0.419005582296618,"CA"
"79","1094",0,0.798798153985034,0.802069117371705,2,-0.241175785390765,"CA"
"80","1095",0,0.743258042707825,0.74676838380038,3,-0.0668949931847089,"CA"
"81","1096",0,0.209967583513583,0.216890654194006,1,-0.260443964210856,"CA"
"82","1097",0,0.889665510071604,0.890824083440051,2,-0.372325519944193,"CA"
"83","1098",0,0.841327404471406,0.840425603097381,2,-0.465703401770994,"CA"
"84","1099",0,0.5861442836329,0.562679172591983,2,-0.600280622646878,"CA"
"85","110",0,0.688848489481981,0.690267129840143,1,0.255705636405716,"CA"
"86","1101",0,0.757072875032498,0.761864521360703,1,-0.414408502073191,"CA"
"87","1102",0,0.267037419014621,0.223553741630062,1,-0.601671006129342,"CA"
"88","1103",0,0.389935744675221,0.391127909898599,1,-0.634521392329672,"CA"
"89","1104",0,0.911775835187791,0.908046387629623,1,-0.323060045703334,"CA"
"90","1108",0,0.540038967621721,0.563942989222376,1,-0.51835725262505,"CA"
"91","1109",0,0.408242958783553,0.411324593781139,1,-0.412658575184593,"CA"
"92","111",0,0.996798863117035,0.996788683767441,2,-0.189404877926218,"CA"
"93","1110",0,0.534419610504053,0.542379208097153,1,-0.31581286778465,"CA"
"94","1111",0,0.61580485845275,0.615163672472476,1,-0.386473730915776,"CA"
"95","1112",0,0.774126788419887,0.77564646513759,1,-0.322278691789598,"CA"
"96","1113",0,0.484745879620283,0.478848907532098,2,-0.455241319963097,"CA"
"97","1114",0,0.64344583290094,0.643230411431728,2,-0.470893942921405,"CA"
"98","1115",0,0.760233897111811,0.765831584215162,2,-0.440849435401414,"CA"
"99","1118",0,0.82396091459329,0.830611440296142,2,-0.568809578763844,"CA"
"100","1119",0,0.74757744012716,0.742418833794211,1,0.163999891561319,"CA"
"101","112",0,0.968943025833244,0.96567270118936,2,0.0614892566205149,"CA"
"102","1120",0,0.828010950194739,0.825971222035629,2,-0.480660719159344,"CA"
"103","1121",0,0.830414196609961,0.840969878887238,3,-0.433249740659857,"CA"
"104","1124",0,0.963476641833158,0.966758881033626,3,NA,"CA"
"105","1125",0,0.896478280127433,0.894909555884268,2,0.225338932207052,"CA"
"106","1126",0,0.857508483705871,0.85755522235037,2,-0.178684148927112,"CA"
"107","1129",0,0.645474096686513,0.634500813747972,2,0.255118515619245,"CA"
"108","113",0,0.998564961045366,0.998495444634421,2,0.372145708262117,"CA"
"109","1133",0,0.555342379372512,0.557731426472961,1,0.0459638548940222,"CA"
"110","1138",0,0.752311831729582,0.736047615268957,1,-0.332146124120822,"CA"
"111","114",0,0.997442844284063,0.997472191307833,4,-0.206363489436823,"CA"
"112","1141",0,0.90735766818364,0.905676668710256,2,-0.469907921539695,"CA"
"113","1142",0,0.710285138856032,0.720529785244405,3,-0.347435832724686,"CA"
"114","1144",0,0.768105468439027,0.760990192383877,2,-0.497126655597454,"CA"
"115","1147",0,0.958540640494169,0.958489753655762,3,-0.464477509277003,"CA"
"116","1148",0,0.890269909467529,0.893732219386235,2,-0.326949438709006,"CA"
"117","115",0,0.93070260970421,0.93129062830869,3,0.00615113402455369,"CA"
"118","1150",0,0.810124943323127,0.808350295099933,2,-0.371571593491678,"CA"
"119","1151",0,0.82437120731794,0.825290768956322,2,-0.356180223772738,"CA"
"120","1154",0,0.77592834320102,0.778343092940611,2,-0.352644340112251,"CA"
"121","1159",0,0.953102903795403,0.953295724659324,3,-0.411408190743659,"CA"
"122","116",0,0.994068175745175,0.994052959376446,2,0.0440332756176348,"CA"
"123","1163",0,0.909404797855169,0.909346826987664,2,-0.332376401602112,"CA"
"124","1165",0,0.764849012065922,0.763547886531166,2,-0.33394711960336,"CA"
"125","1166",0,0.962400244828065,0.962699834520462,1,-0.346639844239552,"CA"
"126","1167",0,0.909785776552738,0.910036901345681,2,-0.287155642770039,"CA"
"127","1168",0,0.842099650439417,0.827885431219791,2,-0.241712956532834,"CA"
"128","1169",0,0.9247632465666,0.93149920005041,2,NA,"CA"
"129","117",0,0.973826064070128,0.975390486215771,3,-0.40241094206222,"CA"
"130","1171",0,0.993935495751799,0.993953104842085,2,0.0387291061720135,"CA"
"131","1172",0,0.993573678699014,0.993804530237417,2,0.0806409996707164,"CA"
"132","1173",0,0.935344429181909,0.935680019045188,2,-0.431970624013558,"CA"
"133","1177",0,0.767404801817051,0.76867806332061,2,-0.25949982654212,"CA"
"134","118",0,0.561175554781396,0.566335206197703,1,-0.22347272609535,"CA"
"135","1180",0,0.557533486472136,0.521392580245232,1,-0.14183786108048,"CA"
"136","1183",0,0.798733344531856,0.799513528567826,1,-0.0369208781038215,"CA"
"137","1185",0,0.999231851030839,0.999212852010945,3,0.389176854893738,"CA"
"138","1186",0,0.99845976654161,0.998535631773816,2,0.318312164868189,"CA"
"139","1187",0,0.99655238058075,0.99636724560866,3,NA,"CA"
"140","119",0,0.943183306355581,0.942870385790838,2,NA,"CA"
"141","1191",0,0.998962488588758,0.998981420036628,2,0.291792473325296,"CA"
"142","1192",0,0.996018376620416,0.996402645721705,3,0.395616039021117,"CA"
"143","1195",0,0.977588737364401,0.97635650574365,2,-0.35098351272128,"CA"
"144","1196",0,0.987337012030094,0.987398240518189,2,-0.268102354720114,"CA"
"145","1197",0,0.99587282249064,0.995856733464163,2,0.308497669962172,"CA"
"146","1198",0,0.998072603641786,0.998261784142969,2,0.0743049649549566,"CA"
"147","1199",0,0.994353466501107,0.994522965450023,3,0.195417680815383,"CA"
"148","120",0,0.997736809615376,0.997974055678665,2,-0.0386585715812091,"CA"
"149","1200",0,0.869963308313105,0.867277289076578,1,NA,"CA"
"150","1202",0,0.997569020422257,0.997660046342511,3,0.225053785793134,"CA"
"151","1203",0,0.999012189457772,0.999016876694202,2,0.41510222530566,"CA"
"152","1204",1,0.988286147729824,0.988286147729824,8,0.301819974669477,"CA"
"153","1205",0,0.973611083772198,0.973840715412341,2,0.136832137981723,"CA"
"154","1206",0,0.99561263450497,0.996155458569413,3,0.432764816863866,"CA"
"155","1207",0,0.997116909267668,0.996972180370578,4,NA,"CA"
"156","1208",0,0.997419968573959,0.997184373161848,2,0.369933460287313,"CA"
"157","1210",0,0.997312425552309,0.997356457730355,2,0.306258177163613,"CA"
"158","1212",0,0.945135027671331,0.945468512214767,2,-0.0346705214785996,"CA"
"159","1213",0,0.969991544151956,0.97020529903835,2,0.129154519307691,"CA"
"160","1216",0,0.910465434192636,0.910856634713602,2,0.492390596035829,"CA"
"161","1217",0,0.989438352151545,0.989239957553854,3,0.299953524478773,"CA"
"162","1218",0,0.920315259273385,0.925847552546505,2,0.445946077096352,"CA"
"163","1219",0,0.820793879629413,0.81953191158698,1,0.390261904113575,"CA"
"164","1222",0,0.965313386719971,0.965620040293705,2,0.466237438861619,"CA"
"165","1223",0,0.882588660967594,0.882436963054836,1,0.506390420538648,"CA"
"166","1224",0,0.93751691092516,0.936275951631438,3,0.508563252161028,"CA"
"167","1225",0,0.516543663197538,0.500221945331665,1,0.0806560971374077,"CA"
"168","1226",0,0.834728665948195,0.83471759780768,1,0.212377307319526,"CA"
"169","1227",0,0.847297555827094,0.851103710983185,3,0.208765539857366,"CA"
"170","1229",0,0.97620023717382,0.975202443681399,2,0.36331106626063,"CA"
"171","1231",0,0.951206335969769,0.95657388961226,2,0.388755401841391,"CA"
"172","1232",0,0.622998832314764,0.624281783223003,1,NA,"CA"
"173","1233",0,0.882838380199044,0.880388577171859,3,NA,"CA"
"174","1234",0,0.981864133599152,0.98234080513593,3,NA,"CA"
"175","1235",0,0.988957394789405,0.989628861399363,3,NA,"CA"
"176","1236",0,0.925247742607914,0.931941287036656,3,0.0968042708366887,"CA"
"177","1237",0,0.859917883931581,0.856189238434311,2,-0.147020841540424,"CA"
"178","1238",0,0.754363776048374,0.755994572028662,1,0.304644317444683,"CA"
"179","1239",0,0.821694800165992,0.820237987612132,2,NA,"CA"
"180","1240",0,0.524142433366268,0.554879717344304,1,NA,"CA"
"181","1241",0,0.853072177096758,0.85569879290536,2,0.446737391178981,"CA"
"182","1242",0,0.712255520455261,0.71279121073127,1,0.341211496956076,"CA"
"183","1243",0,0.985141073979089,0.986476398898021,2,0.380735448051307,"CA"
"184","1244",0,0.948163869259438,0.948029960238638,1,NA,"CA"
"185","1245",0,0.673535829501846,0.675192890452436,1,NA,"CA"
"186","1246",0,0.868995164382265,0.859020405729762,2,-0.0329283853912832,"CA"
"187","1247",0,0.912471245664304,0.889435084090384,2,-0.319637098974227,"CA"
"188","1248",0,0.996486096593465,0.996041906330803,3,0.358959895501726,"CA"
"189","1249",0,0.867377843667281,0.892273775733554,4,-0.172766336275511,"CA"
"190","125",0,0.992131519905983,0.991692504616321,2,-0.0118789278323765,"CA"
"191","1250",0,0.996835112317012,0.996996033447377,2,0.261578451325284,"CA"
"192","1251",0,0.989419753493085,0.988375594179599,2,0.173662302734511,"CA"
"193","1252",0,0.994952752961775,0.994969295657292,2,0.380557560310271,"CA"
"194","1253",0,0.989412877074797,0.989320469086817,2,0.0331147156267211,"CA"
"195","1254",0,0.993625251772676,0.994243823293888,2,0.464218047674189,"CA"
"196","1255",0,0.95864728575713,0.959902216615574,2,0.215047346045873,"CA"
"197","1256",0,0.988842357007611,0.988955958197049,2,0.299952600844054,"CA"
"198","1257",0,0.909131068073084,0.909364933169429,2,0.232505418103228,"CA"
"199","1258",0,0.986279828799907,0.986113335010669,3,0.212082053108829,"CA"
"200","1259",0,0.986973629041527,0.987028746483281,2,0.264246537091797,"CA"
"201","126",0,0.93794183590933,0.940419337561304,2,-0.38876531403895,"CA"
"202","1260",0,0.986910009855802,0.985530928645312,2,-0.03693834040011,"CA"
"203","1262",0,0.647868068632694,0.648157591915365,2,0.274001644361603,"CA"
"204","1263",3,NA,NA,1,0.122151715581457,"CA"
"205","1264",0,0.931038261214377,0.929225601742831,1,0.0642651227478187,"CA"
"206","1265",0,0.901872549387467,0.901903001415772,2,-0.134867617615414,"CA"
"207","1266",0,0.886154629904021,0.872629169215529,2,-0.180784729951374,"CA"
"208","1267",0,0.902066338218535,0.902197422533758,2,-0.424633016720293,"CA"
"209","127",0,0.95978111645876,0.960149584833361,3,0.652277105717806,"CA"
"210","1270",0,0.962118768759716,0.96217329129596,2,0.203530949517733,"CA"
"211","1271",0,0.926490701785092,0.922799322429248,2,0.495576087176727,"CA"
