gridcode,country,longitude,latitude,station_name,station_id,area_km2
95,CA,-64.58083344,50.68582916,MAGPIE (RIVIERE) A LA SORTIE DU LAC MAGPIE,02VB004,7184.06960488322
96,CA,-93.97019196,50.67699814,LONG-LEGGED RIVER BELOW LONG-LEGGED LAKE,05QE012,553.498150770033
97,CA,-99.52674866,50.94881058,TURTLE RIVER NEAR LAURIER,05LJ007,860.810212686813
98,CA,-96.28302765,51.10128021,MANIGOTAGAN RIVER NEAR MANIGOTAGAN,05RA001,1741.36153062058
99,CA,-80.86393738,51.16083145,KWATABOAHEGAN RIVER NEAR THE MOUTH,04KA001,3606.31898280794
102,CA,-57.15161133,50.60747147,TORRENT RIVER AT BRISTOL'S POOL,02YC001,618.216467096513
103,CA,-98.97028351,50.50569153,BIG GRASS RIVER NEAR GLENELLA,05LL015,964.393798539946
105,CA,-61.7136116028,50.4272193909,"NATASHQUAN (RIVIERE) A 0,6 KM EN AVAL DE LA DECHARGE DU LAC ALIESTE",02WB003,15328.6362408949
106,CA,-99.94613647,50.52331161,ROLLING RIVER NEAR ERICKSON,05MF008,734.01679062249
108,CA,-99.90751648,50.35881042,LITTLE SASKATCHEWAN RIVER NEAR MINNEDOSA,05MF001,1873.08304358447
110,CA,-94.46640778,50.35224915,STURGEON RIVER AT OUTLET OF SALVESEN LAKE,05QE009,1763.24149285918
111,CA,-66.1902770996,50.3502807617,"MOISIE (RIVIERE) A 5,1 KM EN AMONT DU PONT DU Q.N.S.L.R.",02UC002,19015.1302399852
113,CA,-63.62250137,50.30778122,ROMAINE (RIVIERE) AU PONT DE LA Q.I.T.,02VC001,12984.6621522191
116,CA,-57.5775299072,50.162311554,GREAVETT BROOK ABOVE PORTLAND CREEK POND,02YE001,99.2642314199548
117,CA,-93.25858307,50.50756073,CEDAR RIVER BELOW WABASKANG LAKE,05QE008,1629.89793574078
118,CA,-76.38777924,50.74583054,BROADBACK (RIVIERE) A LA SORTIE DU LAC QUENONISCA,03BD002,9943.84903255908
120,CA,-96.7138290405,50.1950492859,DEVILS CREEK NEAR LIBAU,05OJ016,180.050833567448
121,CA,-86.5362472534,50.661190033,LITTLE CURRENT RIVER AT PERCY LAKE,04JF001,4888.65413165253
123,CA,-99.2143936157,49.9009208679,PINE CREEK NEAR MELBOURNE,05LL014,201.078279186236
124,CA,-56.2221412659,49.8935317993,SOUTH WEST BROOK NEAR BAIE VERTE,02YM003,96.221059582209
125,CA,-91.5407485962,50.1672782898,STURGEON RIVER AT MCDOUGALL MILLS,05QA004,3678.2526799742
126,CA,-57.15942001,49.81066895,MAIN RIVER AT PARADISE POOL,02YG001,631.250375079755
127,CA,-99.33,49.74,EPINETTE CREEK NEAR CARBERRY,05MH007,380.510595575557
129,CA,-88.93161011,50.86841965,OGOKI RIVER ABOVE WHITECLAY LAKE,04GB004,10467.7357821359
