Year,Month,Day,Forcing_Precipitation_mm/d,HBV_Snowfall_mm/d,HBV_Rainfall_mm/d,HBV_Snowmelt_mm/d,Observed_Streamflow_mm/d
1979,1,1,9.8129243850708,0,9.81292438507079,1.10179751102947e-07,1.17468048594505
1979,1,2,1.39160966873169,0,5.60228233684449,0,1.5405646359584
1979,1,3,9.52405548095703,0,5.43402018347589,0,6.54739970282318
1979,1,4,1.51796078681946,0.63939612500158,4.88162307477978,0,14.6353640416048
1979,1,5,0.205015167593956,0.742098205198812,0.119625427709799,0,9.62852897473997
1979,1,6,0.373810052871704,0.289364885386799,0,0,4.94264487369985
1979,1,7,13.4948129653931,3.00629078975989,3.92802025899423,0,3.49194660611882
1979,1,8,19.1514167785645,2.81938768051026,13.5037254535359,5.64266458457572,3.87066859887224
1979,1,9,8.5695972442627,0,13.8604371973269,1.88544185350116,10.9765230312036
1979,1,10,0.773396670818329,0.386698711175093,4.28479445846897,0,10.2704309063893
1979,1,11,0,0.384846556105905,0,0,6.27780108742339
1979,1,12,0,0,0,0,4.07607726597325
1979,1,13,5.35548257827759,2.6797836068863,0,0,3.05545309670436
1979,1,14,17.9100112915039,9.1307593286981,2.50198177490311,0,2.1760476462377
1979,1,15,0.0931752398610115,6.50672813705562,2.52754835349956,0,2.68956919155716
1979,1,16,0.0436479449272156,0.0519501764570691,0.0164134503055919,0,2.72808320950966
1979,1,17,0,0.0202726458202882,0,-8.88178419700125e-16,2.21456166419019
1979,1,18,1.09458601474762,0.503995654664212,0,8.88178419700125e-16,1.74597330305941
1979,1,19,0.297263354063034,0.736070987238719,0,0,1.41860329343164
1979,1,20,0.0451813004910946,0.197410850854755,0,0,1.13616646799255
1979,1,21,19.3122978210449,9.61407139935902,0,0,1.02062404683582
1979,1,22,5.88531684875488,9.65614752395054,2.94265884692763,1.60937265981173,1.39934616202231
1979,1,23,0.152134090662003,0.0271637537664446,3.01367295489138,1.62178620299341,2.23381867316644
1979,1,24,0,0.0291157719993791,0.0517886365956741,0,2.47774135821996
1979,1,25,18.3377895355225,0.614988408142729,8.55342832794149,1.01030322606736,2.28517077872516
1979,1,26,22.7603874206543,0.617800962687632,19.921290297122,4.66051017856374,2.70240703429722
1979,1,27,10.4299573898315,0,16.6335020253414,8.98875576099777,5.59096572671922
1979,1,28,10.5012712478638,0,10.4665924095857,9.87414590671704,12.0035661218425
1979,1,29,24.4024887084961,0,17.4289718245437,8.90923510006225,14.9563150074294
1979,1,30,8.05736255645752,0,16.2304305814565,4.61323725652118,19.0644873699851
1979,1,31,0.140388146042824,0,4.15530228373308,0,12.1319465081724
1979,2,1,10.731614112854,0,5.43598666449344,0,7.44606240713225
1979,2,2,3.64970397949219,0,7.19064966518292,-7.105427357601e-15,5.72576503441911
1979,2,3,0.210596784949303,0,1.94118455596211,7.105427357601e-15,4.92980703095979
1979,2,4,0.222321361303329,0.0353758448191854,0.181083283367542,0.0324633451800764,4.01830599417835
1979,2,5,0.932349145412445,0.501540089018157,0.0757869266073499,0.0324637935484517,3.25444284243534
1979,2,6,2.26510882377625,1.5963037811624,0,0,2.40071332231496
1979,2,7,0,1.1327865281298,0,0,1.88719165456242
1979,2,8,0.00523922359570861,0.00198789766043461,0,0,1.69462107506762
1979,2,9,4.25031030317768e-05,0.00135374261696342,0,0,1.41860329343164
1979,2,10,0.0762908011674881,0.0377653458760037,0,0,1.16184252077191
1979,2,11,0.0631299391388893,0.0671880616050373,0,0,0.930757800891531
1979,2,12,0.0479280017316341,0.0572366318514597,0,0,0.795958370758556
1979,2,13,0.0291425511240959,0.0355786356328522,0,0,0.706092124814265
1979,2,14,0.114613756537437,0.0654459376759107,0,-7.105427357601e-15,0.607239229788929
1979,2,15,0.145841240882874,0.136856279276223,0,7.105427357601e-15,0.525717655085525
1979,2,16,0.135019540786743,0.139221923662959,0,0,0.459601773266275
1979,2,17,0.130820497870445,0.133377806470733,0,0,0.387708764267535
1979,2,18,0.176128372550011,0.14601114717378,0,7.105427357601e-15,0.334430908837963
1979,2,19,0.0335070304572582,0.108702572200173,0,-7.105427357601e-15,0.303619614894465
1979,2,20,0.0523752719163895,0.0456479517081476,0,0,0.265747391132508
1979,2,21,3.36865544319153,0.765382030699406,0.945130085130643,0,0.241355125687983
1979,2,22,4.35789251327515,0.738300428498192,3.12557266265912,1.56270100008464,0.243280829646435
1979,2,23,0.348923802375793,0.136296159090513,2.22611846060644,1.56782341437282,0.254193167381797
1979,2,24,22.8809566497803,10.9359282223923,0.67588559591951,0,0.249057956825925
1979,2,25,20.6705722808838,12.2637755259188,9.51200208389275,0.720865713234133,0.519940589122574
1979,2,26,31.8959712982178,9.33613716905487,16.9323653737634,0.722771194088189,1.3479940564636
1979,2,27,28.8148136138916,7.91029748251732,22.4487903872189,4.46020474736418,2.40713224368499
1979,2,28,0.305370181798935,0,14.5481874997994,8.31524402552961,11.7468053491828
1979,3,1,0.0559150278568268,0.0180695944066969,0.16427104306419,3.897180997481,10.527191679049
1979,3,2,0.0454976186156273,0.0369532345098804,0.0138096181437106,0,5.48184259423175
1979,3,3,0.0420037172734737,0.0236211138803668,0.020128341347089,0.346138993617913,3.90918286169089
1979,3,4,0.0010984824039042,0.00500236144411304,0.0165875764390648,4.4503327326574,2.89497761379202
1979,3,5,5.34145001438446e-05,0,0.000580218191174708,12.361759944063,2.76017830609213
1979,3,6,8.59594917297363,0,4.31912693665316,8.03512783591755,3.50478444885889
1979,3,7,45.6129531860352,0,27.1044502535725,0,4.99399722412472
1979,3,8,3.36179280281067,0,24.4875324235421,0,10.4630014858841
1979,3,9,0.0707545727491379,0,1.73925354287343,-1.4210854715202e-14,10.6555720653789
1979,3,10,12.0974493026733,0,6.08409470053823,1.4210854715202e-14,6.14300128999118
1979,3,11,37.7883911132813,0,24.9428280064731,0,5.31494818994939
1979,3,12,7.58254957199097,0,22.6870228166947,0,22.081426448737
1979,3,13,0.211407616734505,0.105701975575315,3.79134052268012,0,16.4326894502229
1979,3,14,16.3705005645752,0.105703838753868,8.18524792927838,0.21997255821033,7.57444279346211
1979,3,15,23.0218677520752,0,19.6961256117987,0,9.82109955423477
1979,3,16,2.16031646728516,1.0801557778594,11.5109600466082,0,17.9090638930163
1979,3,17,0.562119662761688,1.36740904852211,0,0,9.11500742942051
1979,3,18,2.05524849891663,1.29750777756406,0,0,5.51393769081422
1979,3,19,7.94986820220947,1.68045523513638,3.32210061528332,0.632063512728792,4.22371490614552
1979,3,20,8.02402687072754,0.652831257844852,7.33411624510717,3.86257309020188,3.47268935227642
1979,3,21,0.232096016407013,0,4.12806904952129,1.59175650386943,3.85141158989599
1979,3,22,0,0,0.126005632261013,0,4.54466587197019
1979,3,23,0.00110902171581984,0,0.000473108945698186,0,3.92843987066714
1979,3,24,0.00877597648650408,0,0.00482009236282011,0,3.26728093004156
1979,3,25,0.0213443320244551,0,0.0157072856511036,0,2.86288251720956
1979,3,26,17.7903156280518,0,8.90584356016285,0,2.94632996421689
1979,3,27,2.06525778770447,0,9.92780706419251,0,8.66567607726597
1979,3,28,0.000308272341499105,7.24393684521374e-05,1.02904237979334,1.4210854715202e-14,7.12511144130758
1979,3,29,2.00651001930237,7.21830147796254e-05,1.00333557027176,0.000310396901781473,4.70514135488252
1979,3,30,0.885639011859894,0,1.41369477743496,0,3.72303120356612
1979,3,31,4.95317888259888,0,2.99607834367293,0,3.10680544712923
1979,4,1,1.7549090385437,0,3.29901932638285,0,2.82436849925706
1979,4,2,0.429272145032883,0,1.14310511225648,0,2.71524512190344
1979,4,3,7.38376903533936,0.158879797197727,3.74763249370585,0.158879797197727,2.38787523470874
1979,4,4,0.507132470607758,0.158881710673199,3.78660224536594,0.158881710673199,2.54193155138489
1979,4,5,6.79354763031006,0,3.65033199667215,0,3.07471035054676
1979,4,6,3.47724270820618,0,5.13538202492919,0,3.42133724671771
1979,4,7,4.18466138839722,0,3.81511851595002,0,3.44059425569396
1979,4,8,0.189615219831467,0,2.21564828443337,0,3.26728093004156
1979,4,9,24.6150741577148,0,12.4023457100506,0,2.90139678002821
1979,4,10,20.3993835449219,0,22.5072375810105,0,6.48320950965825
1979,4,11,0.0701220706105232,0,10.2348118237147,0,13.8650817236256
1979,4,12,1.64441502094269,0,0.67664987527121,0,9.43595839524517
1979,4,13,0.132033944129944,0,0.987991932998739,0,6.20719148315611
1979,4,14,0.0244804508984089,1.4210854715202e-14,0.0795603874971675,1.4210854715202e-14,4.65378900445765
1979,4,15,0,-1.4210854715202e-14,0.0155158084088498,-1.4210854715202e-14,3.79364031810109
1979,4,16,0.000370024412404746,-1.4210854715202e-14,0.000159736730665827,0,3.15815755268794
1979,4,17,3.43392634391785,1.4210854715202e-14,1.64068209128072,0,2.68315002532097
1979,4,18,1.69337451457977,-1.4210854715202e-14,2.61115300449899,-1.4210854715202e-14,2.41355116505502
1979,4,19,4.23456716537476,1.4210854715202e-14,2.96395192532759,1.4210854715202e-14,2.25949484837888
1979,4,20,1.09719479084015,0,2.66588047892401,0,2.11827637444279
1979,4,21,0.17183743417263,0,0.682105176943992,0,1.98347694430982
1979,4,22,0.0023736881557852,0,0.0909386134138686,0,1.77806839964188
1979,4,23,0.0429936051368713,-1.4210854715202e-14,0.0219164922890513,0,1.57907877634397
1979,4,24,0.843136668205261,1.4210854715202e-14,0.462893282468826,0,1.4506983900141
1979,4,25,0.0019306659232825,0,0.43694426069851,0,1.3544131002667
