Year,Month,Day,Forcing_Precipitation_mm/d,HBV_Snowfall_mm/d,HBV_Rainfall_mm/d,HBV_Snowmelt_mm/d,Observed_Streamflow_mm/d
1951,1,1,6.18836403,0,6.18836403,1.44640105329962e-07,
1951,1,2,0.00428696,0,3.12767949724178,0,
1951,1,3,1.19833774,0,0.593939150677658,0,
1951,1,4,0.18661417,0,0.754481573158071,0,
1951,1,5,1.87130361,0,0.947982577240195,0,
1951,1,6,68.24085826,0,35.0449883847788,-1.05879118406788e-22,
1951,1,7,10.93000888,0,40.3671507730253,-2.64697796016969e-23,
1951,1,8,11.18057771,0,11.0754769446399,0,
1951,1,9,1.3370954,0,6.38689545085413,0,
1951,1,10,1.79641297,0,1.62858927992023,0,
1951,1,11,3.50279973,0,2.22098523869677,0,
1951,1,12,28.516098,0,14.9774738037039,-1.32348898008484e-22,
1951,1,13,3.26981634,0,16.0748158541849,3.4410713482206e-22,
1951,1,14,19.48101567,0,10.5973113720829,0,
1951,1,15,35.11881099,0,26.0064153063352,7.94093388050907e-23,
1951,1,16,19.25398129,0,27.6992336642629,2.38228016415272e-22,
1951,1,17,27.77847807,0,23.4458846289198,0,
1951,1,18,0.1111986,0,13.7192999188651,0,
1951,1,19,14.71872279,0,7.9106669151864,0,
1951,1,20,10.73823298,0,12.9225800158679,0,
1951,1,21,0.067979,0,7.54867168219727,0,
1951,1,22,0.13447069,0,0.0987799034399472,0,
1951,1,23,0.34768155,0,0.265367412790113,0,
1951,1,24,9.96264232,0,4.81190951651257,0,
1951,1,25,9.52764662,0,9.80815029184947,0,
1951,1,26,22.53788316,0,15.733832267061,0,
1951,1,27,2.01662296,0,12.9549496818938,0,
1951,1,28,0.03665792,0,1.05835490593597,0,
1951,1,29,0.2392826,0,0.164795478861151,0,
1951,1,30,2.1955381,0,-0.244803861610706,0,
1951,1,31,22.54348258,0,9.54769941673248,0,
1951,2,1,0.02913386,0,12.8045802858377,0,
1951,2,2,1.40428698,0,0.248868410733223,0,
1951,2,3,3.25721792,0,1.69609544178013,0,
1951,2,4,8.75056886,0,6.09359612316183,0,
1951,2,5,7.47147869,0,8.48642673331869,0,
1951,2,6,3.71697296,0,5.32118042597745,0,
1951,2,7,3.45713042,0,2.17834789086851,0,
1951,2,8,14.91084873,0,11.7846093386248,0,
1951,2,9,3.2028872,0,7.90642171174466,0,
1951,2,10,0.33333334,0,2.60409039196986,0,
1951,2,11,3.27095369,0,0.862287333948814,0,
1951,2,12,3.96631675,0,1.89422335344108,0,
1951,2,13,35.47795378,0,13.7268660749625,1.05879118406788e-22,
1951,2,14,0.24890639,0,17.9729465878162,7.94093388050907e-23,
1951,2,15,0.31732284,0,0.256044795369803,0,
1951,2,16,0.54908137,0,0.513560300975371,0,
1951,2,17,0.00069991,0,0.207982171981712,0,
1951,2,18,0.00411199,0,0.00312398334688169,0,
1951,2,19,0.00166229,0,0.00279667335803424,0,
1951,2,20,0,0,0.000629612690431713,0,
1951,2,21,0,0,-0.0470670466559113,0,
1951,2,22,0.37882765,0,0.282409085888219,0,
1951,2,23,0,0,0.14267036167297,0,
1951,2,24,0.00656168,0,-0.953352168210699,0,
1951,2,25,7.71259863,0,5.61060280367514,0,
1951,2,26,1.13875767,0,3.72646683279493,0,
1951,2,27,0.35170604,0,0.144889682809662,0,
1951,2,28,4.41566059,0,3.4228223273538,0,
1951,3,1,0.0175853,0,1.68559503298405,0,
1951,3,2,0,0,0.00666064768773822,0,
1951,3,3,0.03175853,0,0.00936325329354304,0,
1951,3,4,0,0,0.0235198152954013,0,
1951,3,5,0,0,-0.00112453858889694,0,
1951,3,6,10.90463715,0,3.21497499126946,0,
1951,3,7,6.6997377,0,10.0510443246594,0,
1951,3,8,5.54129491,0,6.20930678387515,0,
1951,3,9,37.78084066,0,21.6102039304883,-1.85288457211878e-22,
1951,3,10,30.46404264,0,34.8314057261997,-2.64697796016969e-23,
1951,3,11,7.84234486,0,19.6485703916671,1.32348898008484e-22,
1951,3,12,3.4993001,0,7.44005946448897,0,
1951,3,13,0.05205599,0,2.70291591086573,0,
1951,3,14,0.54698164,0,0.201082967567686,0,
1951,3,15,0.01259843,0,0.290993306015707,0,
1951,3,16,0,0,0.00572296627228752,0,
1951,3,17,0,0,-0.000622459464125313,0,
1951,3,18,0.00577428,0,0.000350187470758101,0,
1951,3,19,0.03175853,0,-0.0798177602721353,0,
1951,3,20,0.95730535,0,0.618879923105169,0,
1951,3,21,0.19650044,0,0.528353195686009,0,
1951,3,22,0.3240595,0,0.301047655991056,0,
1951,3,23,0,0,0.147207357483239,0,
1951,3,24,0,0,-3.77252080170365e-05,0,
1951,3,25,0.00034996,0,-0.159809340591892,0,
1951,3,26,1.48460194,0,0.510453028042207,0,
1951,3,27,4.26675422,0,3.45681895127325,0,
1951,3,28,0.05625547,0,1.97498205122986,0,
1951,3,29,0,0,0.0255546252545855,0,
1951,3,30,0,0,0,0,
1951,3,31,0,0,-0.0173817041724078,0,
1951,4,1,0.16124235,0,0.105378059971031,0,
1951,4,2,0,0,0.0732459942013293,0,
1951,4,3,0,0,0,0,
1951,4,4,0,0,0,0,
1951,4,5,0,0,0,0,
1951,4,6,0,0,0,0,
1951,4,7,0,0,0,0,
1951,4,8,0,0,0,0,
1951,4,9,0,0,-0.988220130525406,0,
1951,4,10,9.16727926,0,5.99116859579146,0,
1951,4,11,0,0,4.1454683923173,0,
1951,4,12,0.17497813,0,-0.833848611066628,0,
1951,4,13,8.79606303,0,5.63913377190511,0,
1951,4,14,1.75249348,0,5.1327336859116,0,
1951,4,15,0.07690289,0,0.846347157730975,0,
1951,4,16,0,0,0.030765336648642,0,
1951,4,17,0.03867017,0,0.0252724392403252,0,
1951,4,18,0,0,0.0175663220461502,0,
1951,4,19,0,0,0,0,
1951,4,20,0,0,0,0,
1951,4,21,0,0,0,0,
1951,4,22,0,0,0,0,
1951,4,23,0,0,0,0,
1951,4,24,0,0,0,0,
1951,4,25,0,0,0,0,
1951,4,26,0,0,0,0,
1951,4,27,0,0,0,0,
1951,4,28,0,0,0,0,
1951,4,29,0,0,-0.000886532686081409,0,
1951,4,30,0.00822397,0,-0.053117629957228,0,
1951,5,1,0.54260718,0,0.299858116239875,0,
1951,5,2,1.14916886,0,0.924533480675109,0,
1951,5,3,3.47594056,0,2.563994840953,0,
1951,5,4,0.03429571,0,0.525843540806477,0,
1951,5,5,9.70708687,0,6.13941870632698,0,
1951,5,6,2.58136484,0,5.78167138640947,0,
